case_id,crime_id,crime_type,crime_category,ipc_sections,bns_sections,severity,incident_date,incident_time,reported_date,state,district,police_station,case_status,description,synthetic_flag
CASE-000024,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-03-24,15:03,2023-03-25,West Bengal,District-38,PS-15,Open,Synthetic investigation scenario,true
CASE-000025,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-02-17,21:21,2023-02-19,Karnataka,District-26,PS-13,Open,Synthetic investigation scenario,true
CASE-000026,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-11-10,17:45,2023-11-11,Uttar Pradesh,District-30,PS-25,Charge-sheeted,Synthetic investigation scenario,true
CASE-000027,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-04-24,17:20,2023-04-24,Maharashtra,District-02,PS-15,Under Investigation,Synthetic investigation scenario,true
CASE-000028,CULPABLE_HOMICIDE,CULPABLE_HOMICIDE,Violent Crime,,,CRITICAL,2023-09-08,17:51,2023-09-10,Rajasthan,District-32,PS-16,Closed,Synthetic investigation scenario,true
CASE-000029,CYBERCRIME,CYBERCRIME,Cybercrime,,,HIGH,2023-04-09,12:08,2023-04-09,Maharashtra,District-14,PS-04,Under Investigation,Synthetic investigation scenario,true
CASE-000030,OTHER_SPECIAL_LOCAL_LAWS,OTHER_SPECIAL_LOCAL_LAWS,Special/Local Law,,,MEDIUM,2023-05-07,02:12,2023-05-07,Rajasthan,District-23,PS-14,Under Investigation,Synthetic investigation scenario,true
CASE-000031,RAPE,RAPE,Sexual Crime,,,CRITICAL,2023-02-23,02:11,2023-02-24,Rajasthan,District-30,PS-10,Open,Synthetic investigation scenario,true
CASE-000032,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-04-30,14:21,2023-04-30,Rajasthan,District-38,PS-18,Under Investigation,Synthetic investigation scenario,true
CASE-000033,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-07-14,19:31,2023-07-15,Kerala,District-17,PS-05,Charge-sheeted,Synthetic investigation scenario,true
CASE-000034,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-06-06,12:58,2023-06-07,Karnataka,District-25,PS-16,Open,Synthetic investigation scenario,true
CASE-000035,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-04-03,01:29,2023-04-04,Uttar Pradesh,District-24,PS-15,Closed,Synthetic investigation scenario,true
CASE-000036,THEFT,THEFT,Property Crime,,,MEDIUM,2023-09-03,19:24,2023-09-04,Karnataka,District-10,PS-21,Closed,Synthetic investigation scenario,true
CASE-000037,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-09-15,22:13,2023-09-16,Delhi,District-28,PS-01,Open,Synthetic investigation scenario,true
CASE-000038,THEFT,THEFT,Property Crime,,,MEDIUM,2023-05-22,01:49,2023-05-22,Tamil Nadu,District-31,PS-12,Under Investigation,Synthetic investigation scenario,true
CASE-000039,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-08-08,01:45,2023-08-09,Delhi,District-04,PS-08,Charge-sheeted,Synthetic investigation scenario,true
CASE-000040,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-05-30,09:13,2023-06-01,West Bengal,District-40,PS-07,Under Investigation,Synthetic investigation scenario,true
CASE-000041,OTHER_SPECIAL_LOCAL_LAWS,OTHER_SPECIAL_LOCAL_LAWS,Special/Local Law,,,MEDIUM,2023-05-22,11:16,2023-05-23,Maharashtra,District-01,PS-07,Closed,Synthetic investigation scenario,true
CASE-000042,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-07-28,15:13,2023-07-30,Kerala,District-12,PS-18,Under Investigation,Synthetic investigation scenario,true
CASE-000043,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-02-27,21:12,2023-03-01,Gujarat,District-23,PS-13,Closed,Synthetic investigation scenario,true
CASE-000044,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-02-27,07:58,2023-02-28,Gujarat,District-27,PS-06,Under Investigation,Synthetic investigation scenario,true
CASE-000045,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-04-10,16:17,2023-04-12,Telangana,District-16,PS-23,Closed,Synthetic investigation scenario,true
CASE-000046,CYBERCRIME,CYBERCRIME,Cybercrime,,,HIGH,2023-06-21,06:31,2023-06-22,West Bengal,District-31,PS-12,Under Investigation,Synthetic investigation scenario,true
CASE-000047,RAPE,RAPE,Sexual Crime,,,CRITICAL,2023-03-25,18:09,2023-03-25,Maharashtra,District-13,PS-19,Charge-sheeted,Synthetic investigation scenario,true
CASE-000048,CHILD_RELATED_CRIME,CHILD_RELATED_CRIME,Crime Against Children,,,CRITICAL,2023-08-12,20:47,2023-08-14,West Bengal,District-08,PS-10,Under Investigation,Synthetic investigation scenario,true
CASE-000049,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-03-22,05:46,2023-03-22,Kerala,District-28,PS-25,Under Investigation,Synthetic investigation scenario,true
CASE-000050,CULPABLE_HOMICIDE,CULPABLE_HOMICIDE,Violent Crime,,,CRITICAL,2023-12-26,13:08,2023-12-28,Rajasthan,District-39,PS-18,Open,Synthetic investigation scenario,true
CASE-000051,NARCOTICS_NDPS,NARCOTICS_NDPS,Narcotics,,,HIGH,2023-01-02,11:47,2023-01-03,Tamil Nadu,District-12,PS-24,Open,Synthetic investigation scenario,true
CASE-000052,THEFT,THEFT,Property Crime,,,MEDIUM,2023-03-17,20:14,2023-03-18,Maharashtra,District-14,PS-15,Closed,Synthetic investigation scenario,true
CASE-000053,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-05-24,07:34,2023-05-25,Uttar Pradesh,District-09,PS-24,Closed,Synthetic investigation scenario,true
CASE-000054,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-12-04,03:30,2023-12-05,Delhi,District-39,PS-16,Open,Synthetic investigation scenario,true
CASE-000055,ASSAULT,ASSAULT,Violent Crime,,,HIGH,2023-01-22,05:52,2023-01-22,Delhi,District-28,PS-15,Under Investigation,Synthetic investigation scenario,true
CASE-000056,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-10-13,21:17,2023-10-14,Tamil Nadu,District-37,PS-23,Under Investigation,Synthetic investigation scenario,true
CASE-000057,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-01-27,10:58,2023-01-28,Gujarat,District-16,PS-18,Under Investigation,Synthetic investigation scenario,true
CASE-000058,ROBBERY,ROBBERY,Property/Violent Crime,,,HIGH,2023-06-30,15:51,2023-07-01,West Bengal,District-19,PS-17,Open,Synthetic investigation scenario,true
CASE-000059,NARCOTICS_NDPS,NARCOTICS_NDPS,Narcotics,,,HIGH,2023-09-18,00:45,2023-09-19,Maharashtra,District-17,PS-02,Open,Synthetic investigation scenario,true
CASE-000060,FINANCIAL_FRAUD,FINANCIAL_FRAUD,Financial Crime,,,HIGH,2023-03-01,04:30,2023-03-02,Gujarat,District-31,PS-12,Charge-sheeted,Synthetic investigation scenario,true
CASE-000061,CULPABLE_HOMICIDE,CULPABLE_HOMICIDE,Violent Crime,,,CRITICAL,2023-09-28,08:19,2023-09-30,Delhi,District-25,PS-09,Open,Synthetic investigation scenario,true
CASE-000062,THEFT,THEFT,Property Crime,,,MEDIUM,2023-04-20,19:04,2023-04-22,Tamil Nadu,District-33,PS-05,Charge-sheeted,Synthetic investigation scenario,true
CASE-000063,NARCOTICS_NDPS,NARCOTICS_NDPS,Narcotics,,,HIGH,2023-10-10,06:33,2023-10-10,Maharashtra,District-23,PS-14,Open,Synthetic investigation scenario,true
CASE-000064,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-03-13,16:10,2023-03-14,Gujarat,District-19,PS-16,Open,Synthetic investigation scenario,true
CASE-000065,MURDER,MURDER,Violent Crime,,,CRITICAL,2023-11-14,17:07,2023-11-15,Kerala,District-20,PS-14,Charge-sheeted,Synthetic investigation scenario,true
CASE-000066,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-08-23,23:48,2023-08-24,Delhi,District-23,PS-05,Charge-sheeted,Synthetic investigation scenario,true
CASE-000067,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-09-28,19:50,2023-09-30,West Bengal,District-08,PS-03,Closed,Synthetic investigation scenario,true
CASE-000068,NARCOTICS_NDPS,NARCOTICS_NDPS,Narcotics,,,HIGH,2023-09-16,16:39,2023-09-17,Telangana,District-20,PS-17,Open,Synthetic investigation scenario,true
CASE-000069,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-06-02,03:55,2023-06-03,West Bengal,District-21,PS-14,Charge-sheeted,Synthetic investigation scenario,true
CASE-000070,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-06-26,18:11,2023-06-27,Telangana,District-32,PS-06,Closed,Synthetic investigation scenario,true
CASE-000071,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-09-08,22:29,2023-09-09,Telangana,District-09,PS-25,Open,Synthetic investigation scenario,true
CASE-000072,THEFT,THEFT,Property Crime,,,MEDIUM,2023-05-05,15:06,2023-05-06,Karnataka,District-02,PS-03,Open,Synthetic investigation scenario,true
CASE-000073,CHILD_RELATED_CRIME,CHILD_RELATED_CRIME,Crime Against Children,,,CRITICAL,2023-06-12,10:22,2023-06-13,Telangana,District-22,PS-04,Under Investigation,Synthetic investigation scenario,true
CASE-000074,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-08-17,12:54,2023-08-17,Karnataka,District-17,PS-18,Closed,Synthetic investigation scenario,true
CASE-000075,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-08-19,10:17,2023-08-19,Kerala,District-12,PS-14,Closed,Synthetic investigation scenario,true
CASE-000076,CYBERCRIME,CYBERCRIME,Cybercrime,,,HIGH,2023-07-04,10:56,2023-07-06,Tamil Nadu,District-17,PS-13,Charge-sheeted,Synthetic investigation scenario,true
CASE-000077,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-11-11,06:58,2023-11-11,Gujarat,District-03,PS-09,Under Investigation,Synthetic investigation scenario,true
CASE-000078,KIDNAPPING_FOR_RANSOM,KIDNAPPING_FOR_RANSOM,Kidnapping/Abduction,,,CRITICAL,2023-12-28,18:55,2023-12-28,Gujarat,District-35,PS-17,Charge-sheeted,Synthetic investigation scenario,true
CASE-000079,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-07-23,02:39,2023-07-24,Maharashtra,District-37,PS-23,Under Investigation,Synthetic investigation scenario,true
CASE-000080,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-07-13,06:06,2023-07-13,Karnataka,District-24,PS-24,Open,Synthetic investigation scenario,true
CASE-000081,THEFT,THEFT,Property Crime,,,MEDIUM,2023-09-14,06:59,2023-09-15,Rajasthan,District-35,PS-13,Open,Synthetic investigation scenario,true
CASE-000082,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-07-23,05:54,2023-07-24,Delhi,District-22,PS-11,Open,Synthetic investigation scenario,true
CASE-000083,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-02-01,21:13,2023-02-02,Karnataka,District-28,PS-01,Charge-sheeted,Synthetic investigation scenario,true
CASE-000084,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-06-03,03:09,2023-06-03,Delhi,District-35,PS-18,Charge-sheeted,Synthetic investigation scenario,true
CASE-000085,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-05-26,22:51,2023-05-27,Rajasthan,District-34,PS-23,Closed,Synthetic investigation scenario,true
CASE-000086,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-11-29,15:11,2023-11-30,West Bengal,District-38,PS-01,Charge-sheeted,Synthetic investigation scenario,true
CASE-000087,CHILD_RELATED_CRIME,CHILD_RELATED_CRIME,Crime Against Children,,,CRITICAL,2023-07-27,10:17,2023-07-27,Delhi,District-36,PS-21,Closed,Synthetic investigation scenario,true
CASE-000088,OTHER_SPECIAL_LOCAL_LAWS,OTHER_SPECIAL_LOCAL_LAWS,Special/Local Law,,,MEDIUM,2023-04-05,22:12,2023-04-07,Delhi,District-34,PS-08,Under Investigation,Synthetic investigation scenario,true
CASE-000089,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-05-19,23:27,2023-05-20,Maharashtra,District-04,PS-03,Closed,Synthetic investigation scenario,true
CASE-000090,CHILD_RELATED_CRIME,CHILD_RELATED_CRIME,Crime Against Children,,,CRITICAL,2023-12-04,06:13,2023-12-05,Karnataka,District-33,PS-20,Charge-sheeted,Synthetic investigation scenario,true
CASE-000091,CULPABLE_HOMICIDE,CULPABLE_HOMICIDE,Violent Crime,,,CRITICAL,2023-12-17,11:55,2023-12-18,Rajasthan,District-09,PS-02,Open,Synthetic investigation scenario,true
CASE-000092,FINANCIAL_FRAUD,FINANCIAL_FRAUD,Financial Crime,,,HIGH,2023-03-06,16:57,2023-03-07,West Bengal,District-19,PS-09,Charge-sheeted,Synthetic investigation scenario,true
CASE-000093,NARCOTICS_NDPS,NARCOTICS_NDPS,Narcotics,,,HIGH,2023-06-30,06:17,2023-07-01,Delhi,District-03,PS-18,Closed,Synthetic investigation scenario,true
CASE-000094,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-11-06,15:16,2023-11-07,Telangana,District-24,PS-20,Charge-sheeted,Synthetic investigation scenario,true
CASE-000095,RAPE,RAPE,Sexual Crime,,,CRITICAL,2023-12-05,08:29,2023-12-05,Gujarat,District-03,PS-01,Closed,Synthetic investigation scenario,true
CASE-000096,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-03-13,20:13,2023-03-14,Delhi,District-23,PS-06,Charge-sheeted,Synthetic investigation scenario,true
CASE-000097,ROBBERY,ROBBERY,Property/Violent Crime,,,HIGH,2023-07-22,16:19,2023-07-23,West Bengal,District-12,PS-01,Under Investigation,Synthetic investigation scenario,true
CASE-000098,CHILD_RELATED_CRIME,CHILD_RELATED_CRIME,Crime Against Children,,,CRITICAL,2023-08-27,00:30,2023-08-28,Uttar Pradesh,District-17,PS-23,Open,Synthetic investigation scenario,true
CASE-000099,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-09-29,22:49,2023-10-01,Kerala,District-11,PS-06,Under Investigation,Synthetic investigation scenario,true
CASE-000100,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-07-29,18:54,2023-07-30,Rajasthan,District-03,PS-17,Under Investigation,Synthetic investigation scenario,true
CASE-000101,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-03-07,08:50,2023-03-08,Maharashtra,District-04,PS-05,Charge-sheeted,Synthetic investigation scenario,true
CASE-000102,KIDNAPPING,KIDNAPPING,Kidnapping/Abduction,,,CRITICAL,2023-10-09,09:24,2023-10-10,Uttar Pradesh,District-31,PS-07,Charge-sheeted,Synthetic investigation scenario,true
CASE-000103,MURDER,MURDER,Violent Crime,,,CRITICAL,2023-09-07,16:42,2023-09-08,Telangana,District-23,PS-15,Closed,Synthetic investigation scenario,true
CASE-000104,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-04-30,23:17,2023-05-02,Uttar Pradesh,District-28,PS-16,Open,Synthetic investigation scenario,true
CASE-000105,ASSAULT,ASSAULT,Violent Crime,,,HIGH,2023-05-31,04:30,2023-06-01,Uttar Pradesh,District-13,PS-18,Charge-sheeted,Synthetic investigation scenario,true
CASE-000106,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-01-12,07:24,2023-01-13,Telangana,District-16,PS-18,Closed,Synthetic investigation scenario,true
CASE-000107,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-07-06,10:47,2023-07-08,Kerala,District-30,PS-15,Closed,Synthetic investigation scenario,true
CASE-000108,ASSAULT,ASSAULT,Violent Crime,,,HIGH,2023-07-05,01:26,2023-07-06,Uttar Pradesh,District-26,PS-21,Closed,Synthetic investigation scenario,true
CASE-000109,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-08-22,01:22,2023-08-23,Rajasthan,District-09,PS-04,Charge-sheeted,Synthetic investigation scenario,true
CASE-000110,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-11-14,03:23,2023-11-15,Delhi,District-28,PS-02,Closed,Synthetic investigation scenario,true
CASE-000111,ROBBERY,ROBBERY,Property/Violent Crime,,,HIGH,2023-11-23,14:55,2023-11-24,Gujarat,District-19,PS-08,Charge-sheeted,Synthetic investigation scenario,true
CASE-000112,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-06-13,08:26,2023-06-15,Karnataka,District-02,PS-17,Closed,Synthetic investigation scenario,true
CASE-000113,VEHICLE_THEFT,VEHICLE_THEFT,Property Crime,,,MEDIUM,2023-04-14,06:59,2023-04-14,Telangana,District-17,PS-23,Charge-sheeted,Synthetic investigation scenario,true
CASE-000114,CYBERCRIME,CYBERCRIME,Cybercrime,,,HIGH,2023-10-14,04:06,2023-10-14,Rajasthan,District-24,PS-05,Closed,Synthetic investigation scenario,true
CASE-000115,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-01-19,14:35,2023-01-19,Tamil Nadu,District-33,PS-05,Closed,Synthetic investigation scenario,true
CASE-000116,ROBBERY,ROBBERY,Property/Violent Crime,,,HIGH,2023-04-03,16:09,2023-04-05,Karnataka,District-15,PS-20,Under Investigation,Synthetic investigation scenario,true
CASE-000117,NARCOTICS_NDPS,NARCOTICS_NDPS,Narcotics,,,HIGH,2023-08-02,22:38,2023-08-04,Tamil Nadu,District-31,PS-11,Open,Synthetic investigation scenario,true
CASE-000118,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-07-15,21:37,2023-07-17,Karnataka,District-09,PS-05,Closed,Synthetic investigation scenario,true
CASE-000119,ASSAULT,ASSAULT,Violent Crime,,,HIGH,2023-01-05,08:59,2023-01-05,Delhi,District-06,PS-24,Charge-sheeted,Synthetic investigation scenario,true
CASE-000120,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-04-20,21:45,2023-04-22,Delhi,District-11,PS-18,Closed,Synthetic investigation scenario,true
CASE-000121,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-11-08,22:15,2023-11-10,Telangana,District-15,PS-11,Open,Synthetic investigation scenario,true
CASE-000122,MURDER,MURDER,Violent Crime,,,CRITICAL,2023-05-08,22:14,2023-05-09,Karnataka,District-09,PS-15,Under Investigation,Synthetic investigation scenario,true
CASE-000123,CRUELTY_BY_HUSBAND_OR_RELATIVES,CRUELTY_BY_HUSBAND_OR_RELATIVES,Crime Against Women,,,HIGH,2023-10-30,21:10,2023-11-01,Gujarat,District-07,PS-15,Open,Synthetic investigation scenario,true
CASE-000124,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-07-25,23:29,2023-07-27,West Bengal,District-23,PS-19,Open,Synthetic investigation scenario,true
CASE-000125,VEHICLE_THEFT,VEHICLE_THEFT,Property Crime,,,MEDIUM,2023-03-04,20:47,2023-03-05,Rajasthan,District-19,PS-08,Closed,Synthetic investigation scenario,true
CASE-000126,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-12-20,23:26,2023-12-22,West Bengal,District-05,PS-04,Open,Synthetic investigation scenario,true
CASE-000127,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-08-20,08:01,2023-08-21,Delhi,District-38,PS-04,Open,Synthetic investigation scenario,true
CASE-000128,OTHER_SPECIAL_LOCAL_LAWS,OTHER_SPECIAL_LOCAL_LAWS,Special/Local Law,,,MEDIUM,2023-09-18,00:20,2023-09-18,Maharashtra,District-22,PS-15,Charge-sheeted,Synthetic investigation scenario,true
CASE-000129,ASSAULT,ASSAULT,Violent Crime,,,HIGH,2023-11-16,09:00,2023-11-17,Karnataka,District-06,PS-10,Closed,Synthetic investigation scenario,true
CASE-000130,NARCOTICS_NDPS,NARCOTICS_NDPS,Narcotics,,,HIGH,2023-03-26,19:28,2023-03-28,Telangana,District-31,PS-23,Closed,Synthetic investigation scenario,true
CASE-000131,VEHICLE_THEFT,VEHICLE_THEFT,Property Crime,,,MEDIUM,2023-01-27,12:31,2023-01-27,Uttar Pradesh,District-29,PS-06,Open,Synthetic investigation scenario,true
CASE-000132,CULPABLE_HOMICIDE,CULPABLE_HOMICIDE,Violent Crime,,,CRITICAL,2023-12-02,14:51,2023-12-04,West Bengal,District-14,PS-06,Charge-sheeted,Synthetic investigation scenario,true
CASE-000133,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-04-02,18:02,2023-04-04,West Bengal,District-21,PS-14,Open,Synthetic investigation scenario,true
CASE-000134,ASSAULT,ASSAULT,Violent Crime,,,HIGH,2023-12-02,15:11,2023-12-03,Kerala,District-18,PS-03,Open,Synthetic investigation scenario,true
CASE-000135,ASSAULT,ASSAULT,Violent Crime,,,HIGH,2023-04-13,13:16,2023-04-14,Maharashtra,District-19,PS-07,Closed,Synthetic investigation scenario,true
CASE-000136,THEFT,THEFT,Property Crime,,,MEDIUM,2023-05-25,14:22,2023-05-26,West Bengal,District-34,PS-19,Charge-sheeted,Synthetic investigation scenario,true
CASE-000137,CYBERCRIME,CYBERCRIME,Cybercrime,,,HIGH,2023-01-15,05:59,2023-01-16,Karnataka,District-03,PS-20,Closed,Synthetic investigation scenario,true
CASE-000138,CHILD_RELATED_CRIME,CHILD_RELATED_CRIME,Crime Against Children,,,CRITICAL,2023-08-21,11:01,2023-08-22,Rajasthan,District-19,PS-07,Under Investigation,Synthetic investigation scenario,true
CASE-000139,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-03-08,08:24,2023-03-09,Delhi,District-34,PS-07,Closed,Synthetic investigation scenario,true
CASE-000140,OTHER_SPECIAL_LOCAL_LAWS,OTHER_SPECIAL_LOCAL_LAWS,Special/Local Law,,,MEDIUM,2023-10-30,00:05,2023-10-30,Tamil Nadu,District-15,PS-15,Charge-sheeted,Synthetic investigation scenario,true
CASE-000141,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-02-01,13:22,2023-02-01,Kerala,District-19,PS-01,Closed,Synthetic investigation scenario,true
