location_id,location_type,state,district,city,area,latitude,longitude,address_label,synthetic_flag
LOC-000040,Digital,Kerala,District-08,City-25,Area-051,8.39774,69.89626,Synthetic Location 40,true
LOC-000041,Public,Kerala,District-08,City-06,Area-081,12.329188,84.500723,Synthetic Location 41,true
LOC-000042,Public,Tamil Nadu,District-05,City-05,Area-120,13.888232,72.985147,Synthetic Location 42,true
LOC-000043,Road,Tamil Nadu,District-05,City-04,Area-018,30.273172,89.526001,Synthetic Location 43,true
LOC-000044,Office,Tamil Nadu,District-05,City-19,Area-092,24.324306,96.965436,Synthetic Location 44,true
LOC-000045,Road,Tamil Nadu,District-05,City-23,Area-023,9.746001,72.444768,Synthetic Location 45,true
LOC-000046,Commercial,Delhi,District-37,City-05,Area-073,31.217946,82.321545,Synthetic Location 46,true
LOC-000047,Residence,Delhi,District-37,City-18,Area-047,29.96125,82.038145,Synthetic Location 47,true
LOC-000048,Road,Delhi,District-37,City-04,Area-115,19.8877,77.045249,Synthetic Location 48,true
LOC-000049,Financial,Delhi,District-37,City-18,Area-077,29.725425,84.873074,Synthetic Location 49,true
LOC-000050,Residence,Gujarat,District-37,City-02,Area-095,20.826941,85.458962,Synthetic Location 50,true
LOC-000051,Financial,Gujarat,District-37,City-24,Area-128,16.959706,89.866492,Synthetic Location 51,true
LOC-000052,Public,Gujarat,District-37,City-30,Area-062,28.768142,84.119131,Synthetic Location 52,true
LOC-000053,Office,Gujarat,District-37,City-26,Area-131,29.885969,77.584799,Synthetic Location 53,true
LOC-000054,Office,Kerala,District-29,City-10,Area-110,9.663313,80.824321,Synthetic Location 54,true
LOC-000055,Hotel,Kerala,District-29,City-07,Area-025,27.198217,89.81012,Synthetic Location 55,true
LOC-000056,Office,Kerala,District-29,City-21,Area-119,28.12027,77.383198,Synthetic Location 56,true
LOC-000057,Hotel,Gujarat,District-34,City-09,Area-006,30.691545,96.733452,Synthetic Location 57,true
LOC-000058,Digital,Gujarat,District-34,City-22,Area-078,22.823521,93.465132,Synthetic Location 58,true
LOC-000059,Transit,Maharashtra,District-40,City-03,Area-076,21.632012,90.074225,Synthetic Location 59,true
LOC-000060,Hotel,Maharashtra,District-40,City-15,Area-020,30.39687,73.216551,Synthetic Location 60,true
LOC-000061,Residence,Rajasthan,District-38,City-21,Area-085,28.468153,80.402102,Synthetic Location 61,true
LOC-000062,Public,Rajasthan,District-38,City-04,Area-066,29.72154,86.953306,Synthetic Location 62,true
LOC-000063,Financial,Kerala,District-22,City-11,Area-123,26.954487,88.356904,Synthetic Location 63,true
LOC-000064,Commercial,Kerala,District-22,City-09,Area-072,28.957146,71.853146,Synthetic Location 64,true
LOC-000065,Transit,Kerala,District-22,City-02,Area-057,27.692692,68.458561,Synthetic Location 65,true
LOC-000066,Residence,Kerala,District-40,City-08,Area-106,20.064726,86.365337,Synthetic Location 66,true
LOC-000067,Public,Kerala,District-40,City-10,Area-022,20.203571,71.289847,Synthetic Location 67,true
LOC-000068,Public,Kerala,District-40,City-01,Area-142,28.594278,78.140028,Synthetic Location 68,true
LOC-000069,Financial,Maharashtra,District-37,City-08,Area-062,13.275956,72.936541,Synthetic Location 69,true
LOC-000070,Transit,Maharashtra,District-37,City-20,Area-061,33.680641,86.741351,Synthetic Location 70,true
LOC-000071,Warehouse,Maharashtra,District-37,City-06,Area-108,30.351732,72.545047,Synthetic Location 71,true
LOC-000072,Transit,Maharashtra,District-37,City-14,Area-091,28.613809,90.601245,Synthetic Location 72,true
LOC-000073,Warehouse,West Bengal,District-38,City-08,Area-123,10.681885,74.479632,Synthetic Location 73,true
LOC-000074,Public,West Bengal,District-38,City-12,Area-079,18.205461,70.372813,Synthetic Location 74,true
LOC-000075,Financial,West Bengal,District-38,City-11,Area-036,30.440636,75.101008,Synthetic Location 75,true
LOC-000076,Residence,Karnataka,District-26,City-22,Area-022,28.587185,84.455654,Synthetic Location 76,true
LOC-000077,Residence,Karnataka,District-26,City-28,Area-035,32.446969,88.410003,Synthetic Location 77,true
LOC-000078,Digital,Karnataka,District-26,City-10,Area-106,19.600744,68.898656,Synthetic Location 78,true
LOC-000079,Hotel,Uttar Pradesh,District-30,City-16,Area-106,8.765173,75.915224,Synthetic Location 79,true
LOC-000080,Commercial,Uttar Pradesh,District-30,City-19,Area-035,27.97822,81.59848,Synthetic Location 80,true
LOC-000081,Public,Maharashtra,District-02,City-10,Area-052,20.418893,92.287726,Synthetic Location 81,true
LOC-000082,Public,Maharashtra,District-02,City-06,Area-011,32.655765,76.196378,Synthetic Location 82,true
LOC-000083,Hotel,Rajasthan,District-32,City-27,Area-104,26.00531,80.900993,Synthetic Location 83,true
LOC-000084,Commercial,Rajasthan,District-32,City-08,Area-111,29.543931,86.383595,Synthetic Location 84,true
LOC-000085,Residence,Rajasthan,District-32,City-27,Area-076,15.722186,70.150971,Synthetic Location 85,true
LOC-000086,Warehouse,Maharashtra,District-14,City-10,Area-143,9.770638,80.071567,Synthetic Location 86,true
LOC-000087,Road,Maharashtra,District-14,City-03,Area-125,9.491859,73.885605,Synthetic Location 87,true
LOC-000088,Financial,Rajasthan,District-23,City-27,Area-014,28.245973,82.810023,Synthetic Location 88,true
LOC-000089,Transit,Rajasthan,District-23,City-11,Area-063,23.60461,89.510529,Synthetic Location 89,true
LOC-000090,Commercial,Rajasthan,District-23,City-10,Area-056,31.562942,93.342485,Synthetic Location 90,true
LOC-000091,Transit,Rajasthan,District-30,City-24,Area-121,19.989823,72.146775,Synthetic Location 91,true
LOC-000092,Warehouse,Rajasthan,District-30,City-06,Area-077,15.261634,94.597266,Synthetic Location 92,true
LOC-000093,Warehouse,Rajasthan,District-38,City-02,Area-123,12.96381,92.604253,Synthetic Location 93,true
LOC-000094,Public,Rajasthan,District-38,City-12,Area-148,18.214151,94.247057,Synthetic Location 94,true
LOC-000095,Commercial,Kerala,District-17,City-16,Area-091,24.798964,90.336921,Synthetic Location 95,true
LOC-000096,Digital,Kerala,District-17,City-12,Area-001,14.560391,73.003219,Synthetic Location 96,true
LOC-000097,Hotel,Karnataka,District-25,City-19,Area-008,23.730386,84.541789,Synthetic Location 97,true
LOC-000098,Hotel,Karnataka,District-25,City-07,Area-033,13.004853,68.030049,Synthetic Location 98,true
LOC-000099,Warehouse,Karnataka,District-25,City-07,Area-022,15.166612,93.365545,Synthetic Location 99,true
LOC-000100,Residence,Karnataka,District-25,City-30,Area-089,29.448121,80.733298,Synthetic Location 100,true
LOC-000101,Transit,Uttar Pradesh,District-24,City-12,Area-014,18.328056,96.458895,Synthetic Location 101,true
LOC-000102,Commercial,Uttar Pradesh,District-24,City-16,Area-149,11.260449,88.379017,Synthetic Location 102,true
LOC-000103,Public,Uttar Pradesh,District-24,City-22,Area-027,13.913012,88.426397,Synthetic Location 103,true
LOC-000104,Public,Karnataka,District-10,City-23,Area-070,19.503986,73.614148,Synthetic Location 104,true
LOC-000105,Digital,Karnataka,District-10,City-10,Area-050,19.612273,78.599868,Synthetic Location 105,true
LOC-000106,Residence,Karnataka,District-10,City-05,Area-089,25.040948,72.732356,Synthetic Location 106,true
LOC-000107,Public,Karnataka,District-10,City-08,Area-024,17.857036,96.827221,Synthetic Location 107,true
LOC-000108,Residence,Delhi,District-28,City-16,Area-133,8.063792,86.382407,Synthetic Location 108,true
LOC-000109,Financial,Delhi,District-28,City-20,Area-011,26.37327,86.734603,Synthetic Location 109,true
LOC-000110,Transit,Delhi,District-28,City-01,Area-001,33.759887,78.913979,Synthetic Location 110,true
LOC-000111,Hotel,Tamil Nadu,District-31,City-03,Area-019,22.734786,87.270834,Synthetic Location 111,true
LOC-000112,Residence,Tamil Nadu,District-31,City-26,Area-046,13.489748,71.836217,Synthetic Location 112,true
LOC-000113,Transit,Delhi,District-04,City-24,Area-109,14.519341,68.221275,Synthetic Location 113,true
LOC-000114,Office,Delhi,District-04,City-02,Area-021,17.435317,75.768159,Synthetic Location 114,true
LOC-000115,Financial,West Bengal,District-40,City-22,Area-045,31.074599,94.905821,Synthetic Location 115,true
LOC-000116,Road,West Bengal,District-40,City-30,Area-132,29.205114,95.940483,Synthetic Location 116,true
LOC-000117,Transit,West Bengal,District-40,City-08,Area-121,31.933968,75.145006,Synthetic Location 117,true
LOC-000118,Road,West Bengal,District-40,City-30,Area-036,22.609054,95.205261,Synthetic Location 118,true
LOC-000119,Digital,Maharashtra,District-01,City-25,Area-041,15.096763,89.248336,Synthetic Location 119,true
LOC-000120,Transit,Maharashtra,District-01,City-26,Area-076,10.030207,73.153253,Synthetic Location 120,true
LOC-000121,Office,Kerala,District-12,City-24,Area-108,28.444015,90.903197,Synthetic Location 121,true
LOC-000122,Financial,Kerala,District-12,City-15,Area-042,31.254819,87.530702,Synthetic Location 122,true
LOC-000123,Financial,Kerala,District-12,City-28,Area-026,16.784608,80.036593,Synthetic Location 123,true
LOC-000124,Hotel,Gujarat,District-23,City-14,Area-104,19.795897,83.988403,Synthetic Location 124,true
LOC-000125,Office,Gujarat,District-23,City-17,Area-004,14.050479,74.442479,Synthetic Location 125,true
LOC-000126,Digital,Gujarat,District-27,City-07,Area-056,8.023684,91.74275,Synthetic Location 126,true
LOC-000127,Office,Gujarat,District-27,City-29,Area-139,23.698047,83.911793,Synthetic Location 127,true
LOC-000128,Road,Gujarat,District-27,City-13,Area-009,11.709635,70.336656,Synthetic Location 128,true
LOC-000129,Road,Gujarat,District-27,City-11,Area-101,16.478776,74.638383,Synthetic Location 129,true
LOC-000130,Transit,Telangana,District-16,City-30,Area-137,12.730711,91.767919,Synthetic Location 130,true
LOC-000131,Commercial,Telangana,District-16,City-12,Area-072,24.197438,73.741649,Synthetic Location 131,true
LOC-000132,Public,West Bengal,District-31,City-27,Area-025,30.932135,76.548808,Synthetic Location 132,true
LOC-000133,Digital,West Bengal,District-31,City-06,Area-041,16.830682,81.520731,Synthetic Location 133,true
LOC-000134,Office,West Bengal,District-31,City-10,Area-117,29.119849,77.338064,Synthetic Location 134,true
LOC-000135,Residence,Maharashtra,District-13,City-27,Area-023,10.369549,90.094099,Synthetic Location 135,true
LOC-000136,Warehouse,Maharashtra,District-13,City-24,Area-067,24.718036,82.8392,Synthetic Location 136,true
LOC-000137,Office,Maharashtra,District-13,City-24,Area-150,24.585932,86.865727,Synthetic Location 137,true
LOC-000138,Residence,West Bengal,District-08,City-15,Area-093,12.028129,94.958541,Synthetic Location 138,true
LOC-000139,Office,West Bengal,District-08,City-04,Area-100,28.59865,95.520548,Synthetic Location 139,true
LOC-000140,Residence,Kerala,District-28,City-10,Area-136,31.504026,75.199364,Synthetic Location 140,true
LOC-000141,Financial,Kerala,District-28,City-27,Area-100,25.695337,95.744392,Synthetic Location 141,true
LOC-000142,Transit,Rajasthan,District-39,City-03,Area-137,32.429964,87.883014,Synthetic Location 142,true
LOC-000143,Commercial,Rajasthan,District-39,City-21,Area-121,15.537395,78.600775,Synthetic Location 143,true
LOC-000144,Office,Rajasthan,District-39,City-20,Area-116,16.867886,96.067696,Synthetic Location 144,true
LOC-000145,Commercial,Tamil Nadu,District-12,City-20,Area-029,29.172545,85.812955,Synthetic Location 145,true
LOC-000146,Public,Tamil Nadu,District-12,City-27,Area-044,20.095026,74.487419,Synthetic Location 146,true
LOC-000147,Residence,Tamil Nadu,District-12,City-01,Area-075,26.494482,87.055787,Synthetic Location 147,true
LOC-000148,Office,Maharashtra,District-14,City-12,Area-051,16.920973,69.353696,Synthetic Location 148,true
LOC-000149,Warehouse,Maharashtra,District-14,City-17,Area-021,14.486388,83.158404,Synthetic Location 149,true
LOC-000150,Public,Maharashtra,District-14,City-10,Area-142,18.753013,91.323982,Synthetic Location 150,true
LOC-000151,Office,Maharashtra,District-14,City-15,Area-002,32.897643,90.529734,Synthetic Location 151,true
LOC-000152,Financial,Uttar Pradesh,District-09,City-18,Area-122,20.919742,85.782971,Synthetic Location 152,true
LOC-000153,Transit,Uttar Pradesh,District-09,City-02,Area-061,18.470111,91.392129,Synthetic Location 153,true
LOC-000154,Hotel,Uttar Pradesh,District-09,City-13,Area-013,28.522558,94.935381,Synthetic Location 154,true
LOC-000155,Residence,Delhi,District-39,City-01,Area-107,18.260433,86.561322,Synthetic Location 155,true
LOC-000156,Transit,Delhi,District-39,City-03,Area-020,26.474703,89.281658,Synthetic Location 156,true
LOC-000157,Digital,Delhi,District-39,City-29,Area-097,22.729166,77.812416,Synthetic Location 157,true
LOC-000158,Residence,Delhi,District-28,City-07,Area-106,17.410857,86.854214,Synthetic Location 158,true
LOC-000159,Residence,Delhi,District-28,City-19,Area-005,22.394235,77.417243,Synthetic Location 159,true
LOC-000160,Commercial,Tamil Nadu,District-37,City-19,Area-007,17.735233,70.178493,Synthetic Location 160,true
LOC-000161,Warehouse,Tamil Nadu,District-37,City-04,Area-065,24.776029,83.703374,Synthetic Location 161,true
LOC-000162,Public,Tamil Nadu,District-37,City-28,Area-001,30.360052,84.809039,Synthetic Location 162,true
LOC-000163,Financial,Gujarat,District-16,City-16,Area-125,30.274635,90.426915,Synthetic Location 163,true
LOC-000164,Road,Gujarat,District-16,City-21,Area-081,29.420937,70.988732,Synthetic Location 164,true
LOC-000165,Warehouse,West Bengal,District-19,City-11,Area-149,32.495649,81.475836,Synthetic Location 165,true
LOC-000166,Office,West Bengal,District-19,City-25,Area-126,22.354581,84.641445,Synthetic Location 166,true
LOC-000167,Office,West Bengal,District-19,City-17,Area-020,27.043778,90.384189,Synthetic Location 167,true
LOC-000168,Digital,Maharashtra,District-17,City-21,Area-026,28.204624,86.213385,Synthetic Location 168,true
LOC-000169,Digital,Maharashtra,District-17,City-25,Area-040,19.167696,73.783565,Synthetic Location 169,true
LOC-000170,Financial,Maharashtra,District-17,City-10,Area-050,28.520528,95.547291,Synthetic Location 170,true
LOC-000171,Public,Maharashtra,District-17,City-20,Area-053,15.125722,95.229823,Synthetic Location 171,true
LOC-000172,Office,Gujarat,District-31,City-26,Area-071,15.921927,72.224551,Synthetic Location 172,true
LOC-000173,Warehouse,Gujarat,District-31,City-20,Area-150,13.780032,87.965544,Synthetic Location 173,true
LOC-000174,Financial,Delhi,District-25,City-13,Area-137,33.04012,71.204461,Synthetic Location 174,true
LOC-000175,Digital,Delhi,District-25,City-29,Area-001,22.136164,95.244586,Synthetic Location 175,true
LOC-000176,Hotel,Delhi,District-25,City-17,Area-013,28.015749,80.941447,Synthetic Location 176,true
LOC-000177,Digital,Delhi,District-25,City-14,Area-063,28.848019,74.134744,Synthetic Location 177,true
LOC-000178,Digital,Tamil Nadu,District-33,City-02,Area-060,22.606457,84.049717,Synthetic Location 178,true
LOC-000179,Hotel,Tamil Nadu,District-33,City-25,Area-132,30.912484,82.047153,Synthetic Location 179,true
LOC-000180,Office,Tamil Nadu,District-33,City-14,Area-106,21.865762,77.770187,Synthetic Location 180,true
LOC-000181,Financial,Tamil Nadu,District-33,City-24,Area-139,30.192246,74.25158,Synthetic Location 181,true
LOC-000182,Residence,Maharashtra,District-23,City-15,Area-003,20.266493,82.270129,Synthetic Location 182,true
LOC-000183,Warehouse,Maharashtra,District-23,City-15,Area-133,32.87248,70.992914,Synthetic Location 183,true
LOC-000184,Commercial,Gujarat,District-19,City-06,Area-082,16.696691,68.232543,Synthetic Location 184,true
LOC-000185,Road,Gujarat,District-19,City-01,Area-040,25.654723,91.599698,Synthetic Location 185,true
LOC-000186,Hotel,Gujarat,District-19,City-15,Area-132,30.801826,75.348852,Synthetic Location 186,true
LOC-000187,Office,Kerala,District-20,City-05,Area-010,16.291498,83.478996,Synthetic Location 187,true
LOC-000188,Office,Kerala,District-20,City-10,Area-068,18.689904,91.95975,Synthetic Location 188,true
LOC-000189,Residence,Delhi,District-23,City-13,Area-126,11.574432,84.552855,Synthetic Location 189,true
LOC-000190,Residence,Delhi,District-23,City-01,Area-143,32.703622,85.637845,Synthetic Location 190,true
LOC-000191,Hotel,Delhi,District-23,City-25,Area-099,31.056828,85.801596,Synthetic Location 191,true
LOC-000192,Hotel,Delhi,District-23,City-20,Area-036,22.769933,83.78296,Synthetic Location 192,true
LOC-000193,Road,West Bengal,District-08,City-05,Area-092,11.58882,74.977838,Synthetic Location 193,true
LOC-000194,Financial,West Bengal,District-08,City-12,Area-073,16.722687,94.912242,Synthetic Location 194,true
LOC-000195,Digital,Telangana,District-20,City-29,Area-037,33.928444,75.531848,Synthetic Location 195,true
LOC-000196,Road,Telangana,District-20,City-21,Area-058,19.165894,68.356555,Synthetic Location 196,true
LOC-000197,Warehouse,Telangana,District-20,City-19,Area-124,27.841813,69.151979,Synthetic Location 197,true
LOC-000198,Financial,West Bengal,District-21,City-23,Area-077,26.433106,88.708607,Synthetic Location 198,true
LOC-000199,Residence,West Bengal,District-21,City-14,Area-056,15.042012,70.418765,Synthetic Location 199,true
LOC-000200,Transit,West Bengal,District-21,City-08,Area-111,17.4797,73.642637,Synthetic Location 200,true
LOC-000201,Hotel,West Bengal,District-21,City-03,Area-097,12.649356,79.157939,Synthetic Location 201,true
LOC-000202,Commercial,Telangana,District-32,City-04,Area-129,15.33987,73.912089,Synthetic Location 202,true
LOC-000203,Transit,Telangana,District-32,City-13,Area-081,8.174985,75.890789,Synthetic Location 203,true
LOC-000204,Residence,Telangana,District-32,City-22,Area-148,23.461328,81.46079,Synthetic Location 204,true
LOC-000205,Digital,Telangana,District-09,City-08,Area-039,33.353333,68.197676,Synthetic Location 205,true
LOC-000206,Residence,Telangana,District-09,City-08,Area-053,19.983133,71.587617,Synthetic Location 206,true
LOC-000207,Digital,Telangana,District-09,City-20,Area-150,18.372324,84.023154,Synthetic Location 207,true
LOC-000208,Public,Karnataka,District-02,City-07,Area-033,26.611404,75.863073,Synthetic Location 208,true
LOC-000209,Warehouse,Karnataka,District-02,City-18,Area-056,16.503195,78.782352,Synthetic Location 209,true
LOC-000210,Warehouse,Karnataka,District-02,City-23,Area-044,10.203098,87.263221,Synthetic Location 210,true
LOC-000211,Digital,Karnataka,District-02,City-28,Area-016,14.261558,86.598125,Synthetic Location 211,true
LOC-000212,Digital,Telangana,District-22,City-14,Area-139,24.604471,95.856991,Synthetic Location 212,true
LOC-000213,Warehouse,Telangana,District-22,City-18,Area-140,17.925379,94.666037,Synthetic Location 213,true
LOC-000214,Digital,Telangana,District-22,City-13,Area-142,18.870681,90.224609,Synthetic Location 214,true
LOC-000215,Financial,Karnataka,District-17,City-12,Area-145,28.754728,75.950124,Synthetic Location 215,true
LOC-000216,Office,Karnataka,District-17,City-17,Area-053,14.748342,78.041829,Synthetic Location 216,true
LOC-000217,Public,Karnataka,District-17,City-12,Area-043,27.973213,69.728976,Synthetic Location 217,true
LOC-000218,Transit,Karnataka,District-17,City-28,Area-005,12.749902,88.42811,Synthetic Location 218,true
LOC-000219,Warehouse,Kerala,District-12,City-12,Area-046,14.808962,96.555728,Synthetic Location 219,true
LOC-000220,Road,Kerala,District-12,City-04,Area-015,29.434307,85.304154,Synthetic Location 220,true
LOC-000221,Hotel,Kerala,District-12,City-26,Area-025,22.091843,70.502727,Synthetic Location 221,true
LOC-000222,Financial,Kerala,District-12,City-26,Area-041,33.4327,95.632067,Synthetic Location 222,true
LOC-000223,Transit,Tamil Nadu,District-17,City-02,Area-070,14.52232,73.47543,Synthetic Location 223,true
LOC-000224,Commercial,Tamil Nadu,District-17,City-13,Area-071,11.06651,76.063801,Synthetic Location 224,true
LOC-000225,Office,Tamil Nadu,District-17,City-29,Area-081,33.482317,82.805445,Synthetic Location 225,true
LOC-000226,Office,Tamil Nadu,District-17,City-28,Area-125,32.048235,91.808149,Synthetic Location 226,true
LOC-000227,Road,Gujarat,District-03,City-25,Area-015,10.472174,91.601923,Synthetic Location 227,true
LOC-000228,Digital,Gujarat,District-03,City-04,Area-068,24.740006,82.03598,Synthetic Location 228,true
LOC-000229,Residence,Gujarat,District-03,City-16,Area-023,9.365189,86.820797,Synthetic Location 229,true
LOC-000230,Residence,Gujarat,District-35,City-06,Area-135,15.42065,89.351547,Synthetic Location 230,true
LOC-000231,Public,Gujarat,District-35,City-22,Area-048,19.269312,81.560211,Synthetic Location 231,true
LOC-000232,Residence,Maharashtra,District-37,City-16,Area-091,9.249419,70.771304,Synthetic Location 232,true
LOC-000233,Commercial,Maharashtra,District-37,City-14,Area-140,25.917153,80.378244,Synthetic Location 233,true
LOC-000234,Office,Karnataka,District-24,City-15,Area-104,29.051305,91.198427,Synthetic Location 234,true
LOC-000235,Warehouse,Karnataka,District-24,City-02,Area-089,15.365893,83.388353,Synthetic Location 235,true
LOC-000236,Commercial,Karnataka,District-24,City-01,Area-045,23.284584,81.784923,Synthetic Location 236,true
LOC-000237,Residence,Rajasthan,District-35,City-10,Area-010,8.304714,70.100101,Synthetic Location 237,true
LOC-000238,Hotel,Rajasthan,District-35,City-14,Area-021,16.46635,83.404067,Synthetic Location 238,true
LOC-000239,Commercial,Rajasthan,District-35,City-10,Area-090,18.851067,72.768904,Synthetic Location 239,true
LOC-000240,Hotel,Delhi,District-22,City-06,Area-089,16.368927,92.084454,Synthetic Location 240,true
LOC-000241,Office,Delhi,District-22,City-03,Area-076,15.708439,83.707261,Synthetic Location 241,true
LOC-000242,Transit,Delhi,District-22,City-18,Area-041,29.243478,69.467518,Synthetic Location 242,true
LOC-000243,Residence,Delhi,District-22,City-21,Area-065,13.006424,89.46479,Synthetic Location 243,true
LOC-000244,Transit,Karnataka,District-28,City-04,Area-050,29.493738,72.996472,Synthetic Location 244,true
LOC-000245,Public,Karnataka,District-28,City-24,Area-047,21.384323,92.359471,Synthetic Location 245,true
LOC-000246,Digital,Karnataka,District-28,City-02,Area-076,31.811668,69.349832,Synthetic Location 246,true
LOC-000247,Office,Karnataka,District-28,City-30,Area-062,21.031258,89.283642,Synthetic Location 247,true
LOC-000248,Office,Delhi,District-35,City-18,Area-106,26.205802,90.089337,Synthetic Location 248,true
LOC-000249,Digital,Delhi,District-35,City-04,Area-017,20.820027,80.31163,Synthetic Location 249,true
LOC-000250,Transit,Rajasthan,District-34,City-23,Area-052,32.86482,72.655914,Synthetic Location 250,true
LOC-000251,Hotel,Rajasthan,District-34,City-20,Area-016,12.633882,78.307772,Synthetic Location 251,true
LOC-000252,Hotel,West Bengal,District-38,City-13,Area-104,30.56896,85.822519,Synthetic Location 252,true
LOC-000253,Road,West Bengal,District-38,City-30,Area-012,8.297178,95.985717,Synthetic Location 253,true
LOC-000254,Transit,West Bengal,District-38,City-27,Area-050,17.225972,72.1973,Synthetic Location 254,true
LOC-000255,Road,West Bengal,District-38,City-20,Area-002,10.018476,82.896832,Synthetic Location 255,true
LOC-000256,Road,Delhi,District-36,City-25,Area-070,9.409559,84.619968,Synthetic Location 256,true
LOC-000257,Warehouse,Delhi,District-36,City-09,Area-020,9.200019,86.079493,Synthetic Location 257,true
LOC-000258,Financial,Delhi,District-36,City-17,Area-090,23.358861,95.643799,Synthetic Location 258,true
LOC-000259,Commercial,Delhi,District-34,City-09,Area-056,17.221009,95.137836,Synthetic Location 259,true
LOC-000260,Transit,Delhi,District-34,City-05,Area-061,32.088948,81.732816,Synthetic Location 260,true
LOC-000261,Road,Delhi,District-34,City-08,Area-048,14.977213,83.350581,Synthetic Location 261,true
LOC-000262,Office,Delhi,District-34,City-04,Area-148,21.063416,71.27335,Synthetic Location 262,true
LOC-000263,Road,Maharashtra,District-04,City-19,Area-058,25.438866,74.543196,Synthetic Location 263,true
LOC-000264,Residence,Maharashtra,District-04,City-09,Area-136,23.071753,70.139765,Synthetic Location 264,true
LOC-000265,Hotel,Maharashtra,District-04,City-20,Area-055,10.564404,94.772736,Synthetic Location 265,true
