location_id,name,latitude,longitude,address,city,state,location_type
L0117,North Transit Hub 117,28.5338,77.0404,"77, Station Road, Gurugram",Gurugram,Haryana,Road
L0118,East Market Complex 118,26.7625,80.927,"62, MG Road, Lucknow",Lucknow,Uttar Pradesh,Residence
L0119,North Transit Hub 119,21.2209,72.9205,"908, MG Road, Surat",Surat,Gujarat,Restaurant
L0120,North Market Complex 120,22.6985,88.5081,"973, College Road, Kolkata",Kolkata,West Bengal,Transport Hub
L0121,West Market Complex 121,22.7472,75.9066,"658, Station Road, Indore",Indore,Madhya Pradesh,Office
L0122,North Industrial Estate 122,19.3284,72.8826,"462, Nehru Nagar, Thane",Thane,Maharashtra,Bank
L0123,Central Industrial Estate 123,21.0837,72.7792,"53, MG Road, Surat",Surat,Gujarat,Crime Scene
L0124,Central Business Park 124,28.7797,77.2021,"661, College Road, Delhi",Delhi,Delhi,Bank
L0125,North Market Complex 125,26.7025,80.958,"399, Park Street, Lucknow",Lucknow,Uttar Pradesh,Commercial Area
L0126,Central Market Complex 126,20.0819,73.8353,"71, Airport Road, Nashik",Nashik,Maharashtra,Crime Scene
L0127,North Business Park 127,12.9925,80.1268,"691, Market Road, Chennai",Chennai,Tamil Nadu,Meeting Point
L0128,North Office Centre 128,19.2104,72.8624,"857, Nehru Nagar, Thane",Thane,Maharashtra,Warehouse
L0129,South Transit Hub 129,28.7842,77.0028,"239, Park Street, Delhi",Delhi,Delhi,Road
L0130,North Transit Hub 130,13.111,77.477,"168, MG Road, Bengaluru",Bengaluru,Karnataka,Residence
L0131,North Industrial Estate 131,9.9844,76.4048,"606, Station Road, Kochi",Kochi,Kerala,Industrial Area
L0132,East Business Park 132,20.0251,73.889,"720, Market Road, Nashik",Nashik,Maharashtra,Warehouse
L0133,East Office Centre 133,23.1276,72.6015,"2, Lake View Road, Ahmedabad",Ahmedabad,Gujarat,Office
L0134,North Transit Hub 134,18.4746,73.8352,"319, College Road, Pune",Pune,Maharashtra,Commercial Area
L0135,Central Business Park 135,28.5798,77.2448,"729, Ring Road, Noida",Noida,Uttar Pradesh,Industrial Area
L0136,West Transit Hub 136,21.1259,79.0469,"411, Park Street, Nagpur",Nagpur,Maharashtra,Cyber Activity Location
L0137,South Market Complex 137,19.1989,73.0482,"996, Lake View Road, Thane",Thane,Maharashtra,Hotel
L0138,West Market Complex 138,11.1093,76.9673,"683, Ring Road, Coimbatore",Coimbatore,Tamil Nadu,Parking Area
L0139,North Business Park 139,23.3576,77.4403,"741, Ring Road, Bhopal",Bhopal,Madhya Pradesh,Commercial Area
L0140,East Industrial Estate 140,19.9312,73.775,"816, Park Street, Nashik",Nashik,Maharashtra,Crime Scene
L0141,East Industrial Estate 141,9.9643,76.231,"733, Ring Road, Kochi",Kochi,Kerala,Residence
L0142,South Business Park 142,21.0748,72.7447,"576, Shivaji Nagar, Surat",Surat,Gujarat,Crime Scene
L0143,North Transit Hub 143,21.1041,72.8599,"751, Market Road, Surat",Surat,Gujarat,Cyber Activity Location
L0144,West Industrial Estate 144,28.3125,77.161,"671, MG Road, Gurugram",Gurugram,Haryana,Office
L0145,West Industrial Estate 145,23.2565,77.49,"719, MG Road, Bhopal",Bhopal,Madhya Pradesh,Restaurant
L0146,North Industrial Estate 146,26.8312,80.8014,"764, Airport Road, Lucknow",Lucknow,Uttar Pradesh,Bank
L0147,East Transit Hub 147,22.7771,75.7996,"512, MG Road, Indore",Indore,Madhya Pradesh,Road
L0148,East Business Park 148,26.8627,80.8993,"125, Market Road, Lucknow",Lucknow,Uttar Pradesh,Restaurant
L0149,Central Business Park 149,21.1257,72.8172,"682, MG Road, Surat",Surat,Gujarat,Bank
L0150,East Industrial Estate 150,12.9689,80.1785,"872, Market Road, Chennai",Chennai,Tamil Nadu,Office
L0151,East Business Park 151,12.8791,77.6662,"734, Nehru Nagar, Bengaluru",Bengaluru,Karnataka,Bank
L0152,West Market Complex 152,28.5645,77.5352,"328, Market Road, Noida",Noida,Uttar Pradesh,Storage Facility
L0153,North Industrial Estate 153,22.9407,72.4752,"321, Market Road, Ahmedabad",Ahmedabad,Gujarat,Residence
L0154,South Office Centre 154,19.1506,73.1204,"32, Airport Road, Thane",Thane,Maharashtra,Transport Hub
L0155,Central Transit Hub 155,19.2597,73.0539,"231, MG Road, Thane",Thane,Maharashtra,Office
L0156,West Industrial Estate 156,9.8665,76.2609,"148, Ring Road, Kochi",Kochi,Kerala,Commercial Area
L0157,North Industrial Estate 157,18.4461,73.9652,"907, Lake View Road, Pune",Pune,Maharashtra,Office
L0158,Central Business Park 158,22.7171,75.8808,"244, Nehru Nagar, Indore",Indore,Madhya Pradesh,Hotel
L0159,South Market Complex 159,19.1131,72.997,"668, Lake View Road, Thane",Thane,Maharashtra,Bank
L0160,South Business Park 160,12.9682,80.35,"544, MG Road, Chennai",Chennai,Tamil Nadu,Road
L0161,South Industrial Estate 161,10.9345,76.9626,"398, College Road, Coimbatore",Coimbatore,Tamil Nadu,Parking Area
L0162,West Transit Hub 162,23.1305,72.7184,"971, Lake View Road, Ahmedabad",Ahmedabad,Gujarat,Bank
L0163,South Business Park 163,10.8849,77.0938,"828, Nehru Nagar, Coimbatore",Coimbatore,Tamil Nadu,Office
L0164,East Office Centre 164,17.3144,78.3611,"761, Nehru Nagar, Hyderabad",Hyderabad,Telangana,Warehouse
L0165,Central Business Park 165,28.332,76.8774,"842, Market Road, Gurugram",Gurugram,Haryana,Parking Area
L0166,North Business Park 166,26.7841,80.8656,"713, Airport Road, Lucknow",Lucknow,Uttar Pradesh,Restaurant
L0167,South Transit Hub 167,22.444,88.2839,"129, MG Road, Kolkata",Kolkata,West Bengal,Bank
L0168,East Market Complex 168,17.3625,78.5001,"845, Ring Road, Hyderabad",Hyderabad,Telangana,Hotel
L0169,West Industrial Estate 169,28.8021,76.9739,"832, Airport Road, Delhi",Delhi,Delhi,Meeting Point
L0170,East Office Centre 170,11.0915,76.9766,"837, Lake View Road, Coimbatore",Coimbatore,Tamil Nadu,Bank
L0171,North Market Complex 171,21.1364,79.0294,"30, Shivaji Nagar, Nagpur",Nagpur,Maharashtra,Industrial Area
L0172,West Business Park 172,28.5475,77.3723,"758, Ring Road, Noida",Noida,Uttar Pradesh,Road
L0173,West Industrial Estate 173,23.3303,77.4437,"814, Park Street, Bhopal",Bhopal,Madhya Pradesh,Residence
L0174,South Market Complex 174,13.2213,80.3715,"232, Nehru Nagar, Chennai",Chennai,Tamil Nadu,Road
L0175,Central Industrial Estate 175,19.2259,72.9294,"50, Lake View Road, Mumbai",Mumbai,Maharashtra,Bank
L0176,West Business Park 176,18.5993,73.7593,"797, Ring Road, Pune",Pune,Maharashtra,Transport Hub
L0177,North Industrial Estate 177,28.6085,77.1281,"21, Shivaji Nagar, Delhi",Delhi,Delhi,Hotel
L0178,Central Office Centre 178,19.9885,73.7623,"875, Airport Road, Nashik",Nashik,Maharashtra,Commercial Area
L0179,East Transit Hub 179,12.9205,77.6527,"831, Ring Road, Bengaluru",Bengaluru,Karnataka,Bank
L0180,Central Transit Hub 180,28.3205,76.903,"811, Shivaji Nagar, Gurugram",Gurugram,Haryana,Bank
L0181,Central Market Complex 181,21.2869,79.0595,"263, Station Road, Nagpur",Nagpur,Maharashtra,Transport Hub
L0182,South Business Park 182,28.4481,76.8929,"974, Lake View Road, Gurugram",Gurugram,Haryana,Transport Hub
L0183,South Business Park 183,11.0937,76.9934,"695, Station Road, Coimbatore",Coimbatore,Tamil Nadu,Crime Scene
L0184,North Industrial Estate 184,17.3151,78.376,"307, Park Street, Hyderabad",Hyderabad,Telangana,Bank
L0185,East Market Complex 185,26.7331,81.0881,"420, Ring Road, Lucknow",Lucknow,Uttar Pradesh,Road
L0186,East Office Centre 186,12.9148,77.4487,"102, Lake View Road, Bengaluru",Bengaluru,Karnataka,Industrial Area
L0187,Central Office Centre 187,13.2304,80.3946,"730, Shivaji Nagar, Chennai",Chennai,Tamil Nadu,Parking Area
L0188,East Business Park 188,19.2178,73.0431,"617, Park Street, Thane",Thane,Maharashtra,Transport Hub
L0189,West Industrial Estate 189,23.3603,77.5567,"864, Lake View Road, Bhopal",Bhopal,Madhya Pradesh,Warehouse
L0190,North Office Centre 190,28.3529,76.9338,"246, Park Street, Gurugram",Gurugram,Haryana,Road
L0191,South Industrial Estate 191,19.3275,72.911,"182, Station Road, Thane",Thane,Maharashtra,Crime Scene
L0192,South Market Complex 192,21.3005,72.8334,"95, MG Road, Surat",Surat,Gujarat,Storage Facility
L0193,North Office Centre 193,23.0903,72.6726,"657, MG Road, Ahmedabad",Ahmedabad,Gujarat,Road
L0194,West Transit Hub 194,19.2023,72.9734,"365, Market Road, Thane",Thane,Maharashtra,Commercial Area
L0195,Central Market Complex 195,28.4227,77.1565,"903, Airport Road, Gurugram",Gurugram,Haryana,Storage Facility
L0196,West Market Complex 196,13.1042,80.1908,"331, Shivaji Nagar, Chennai",Chennai,Tamil Nadu,Crime Scene
L0197,Central Industrial Estate 197,18.4659,73.8486,"928, Airport Road, Pune",Pune,Maharashtra,Cyber Activity Location
L0198,North Business Park 198,22.8661,75.9454,"941, Ring Road, Indore",Indore,Madhya Pradesh,Hotel
L0199,West Business Park 199,26.9861,80.8341,"433, Shivaji Nagar, Lucknow",Lucknow,Uttar Pradesh,Road
L0200,West Market Complex 200,21.2581,79.0703,"753, Park Street, Nagpur",Nagpur,Maharashtra,Transport Hub
L0201,East Industrial Estate 201,19.1427,72.8507,"437, MG Road, Mumbai",Mumbai,Maharashtra,Hotel
L0202,North Office Centre 202,19.9883,73.9306,"733, Ring Road, Nashik",Nashik,Maharashtra,Commercial Area
L0203,South Office Centre 203,22.7646,75.9632,"203, Nehru Nagar, Indore",Indore,Madhya Pradesh,Storage Facility
L0204,East Transit Hub 204,22.8558,75.8957,"939, Market Road, Indore",Indore,Madhya Pradesh,Cyber Activity Location
L0205,North Office Centre 205,28.3203,76.8971,"310, Nehru Nagar, Gurugram",Gurugram,Haryana,Hotel
L0206,Central Industrial Estate 206,13.1567,80.2509,"797, Lake View Road, Chennai",Chennai,Tamil Nadu,Office
L0207,East Office Centre 207,22.4725,88.3037,"823, MG Road, Kolkata",Kolkata,West Bengal,Residence
L0208,East Market Complex 208,21.259,72.7691,"903, Ring Road, Surat",Surat,Gujarat,Commercial Area
L0209,East Office Centre 209,19.1416,72.9517,"152, Lake View Road, Thane",Thane,Maharashtra,Hotel
L0210,East Market Complex 210,12.8741,77.6274,"182, Ring Road, Bengaluru",Bengaluru,Karnataka,Industrial Area
L0211,East Business Park 211,13.082,80.2956,"208, Market Road, Chennai",Chennai,Tamil Nadu,Warehouse
L0212,North Market Complex 212,28.692,77.1526,"106, College Road, Delhi",Delhi,Delhi,Cyber Activity Location
L0213,Central Market Complex 213,23.0758,72.4688,"724, Station Road, Ahmedabad",Ahmedabad,Gujarat,Parking Area
L0214,Central Business Park 214,9.8709,76.4059,"689, Ring Road, Kochi",Kochi,Kerala,Restaurant
L0215,South Transit Hub 215,22.6762,88.2737,"34, Shivaji Nagar, Kolkata",Kolkata,West Bengal,Industrial Area
L0216,West Industrial Estate 216,21.067,79.1098,"766, Airport Road, Nagpur",Nagpur,Maharashtra,Road
L0217,East Market Complex 217,22.8791,72.6704,"332, Ring Road, Ahmedabad",Ahmedabad,Gujarat,Industrial Area
L0218,East Transit Hub 218,19.0958,72.9334,"992, Park Street, Mumbai",Mumbai,Maharashtra,Restaurant
L0219,East Market Complex 219,11.0904,77.0557,"306, Ring Road, Coimbatore",Coimbatore,Tamil Nadu,Cyber Activity Location
L0220,East Business Park 220,13.1148,80.2264,"557, Airport Road, Chennai",Chennai,Tamil Nadu,Hotel
L0221,South Industrial Estate 221,10.942,77.0325,"523, Nehru Nagar, Coimbatore",Coimbatore,Tamil Nadu,Crime Scene
L0222,North Market Complex 222,21.2668,79.1321,"654, Park Street, Nagpur",Nagpur,Maharashtra,Bank
L0223,East Industrial Estate 223,18.5443,73.9264,"910, Ring Road, Pune",Pune,Maharashtra,Office
L0224,Central Industrial Estate 224,21.2444,72.7338,"111, College Road, Surat",Surat,Gujarat,Meeting Point
L0225,West Industrial Estate 225,26.9217,75.9113,"277, Station Road, Jaipur",Jaipur,Rajasthan,Storage Facility
L0226,North Industrial Estate 226,28.8283,77.2358,"65, Lake View Road, Delhi",Delhi,Delhi,Crime Scene
L0227,Central Market Complex 227,21.2615,72.8216,"232, College Road, Surat",Surat,Gujarat,Office
L0228,South Industrial Estate 228,13.1907,80.338,"394, Ring Road, Chennai",Chennai,Tamil Nadu,Industrial Area
L0229,Central Business Park 229,26.7895,75.7557,"74, Park Street, Jaipur",Jaipur,Rajasthan,Bank
L0230,East Business Park 230,21.1322,79.14,"523, Shivaji Nagar, Nagpur",Nagpur,Maharashtra,Hotel
L0231,West Business Park 231,9.8955,76.3089,"888, Lake View Road, Kochi",Kochi,Kerala,Commercial Area
L0232,South Market Complex 232,13.0741,80.3066,"164, Lake View Road, Chennai",Chennai,Tamil Nadu,Transport Hub
L0233,South Industrial Estate 233,10.9332,76.8248,"99, Shivaji Nagar, Coimbatore",Coimbatore,Tamil Nadu,Storage Facility
L0234,South Business Park 234,23.0673,72.4564,"592, College Road, Ahmedabad",Ahmedabad,Gujarat,Residence
L0235,West Industrial Estate 235,23.1713,72.4562,"78, Station Road, Ahmedabad",Ahmedabad,Gujarat,Warehouse
L0236,North Market Complex 236,19.1849,72.9394,"255, Lake View Road, Thane",Thane,Maharashtra,Restaurant
L0237,South Market Complex 237,23.2861,77.4806,"297, Park Street, Bhopal",Bhopal,Madhya Pradesh,Cyber Activity Location
L0238,North Business Park 238,21.2459,79.1229,"514, Lake View Road, Nagpur",Nagpur,Maharashtra,Bank
L0239,West Market Complex 239,26.8276,75.7707,"431, Ring Road, Jaipur",Jaipur,Rajasthan,Warehouse
L0240,East Market Complex 240,21.2901,79.0484,"509, Airport Road, Nagpur",Nagpur,Maharashtra,Cyber Activity Location
L0241,Central Business Park 241,18.4898,73.7636,"463, Airport Road, Pune",Pune,Maharashtra,Office
L0242,North Transit Hub 242,20.0463,73.8323,"781, Station Road, Nashik",Nashik,Maharashtra,Road
L0243,South Market Complex 243,18.6064,73.7798,"951, Station Road, Pune",Pune,Maharashtra,Meeting Point
L0244,East Transit Hub 244,17.2556,78.5662,"501, Market Road, Hyderabad",Hyderabad,Telangana,Warehouse
