case_id,case_number,title,case_type,status,description,created_date,incident_date,location_id,priority
C0040,CASE-2024-0040,Property Fraud Case Linked to Indore Region,Property Fraud,Under Investigation,"This case tracks a suspected property fraud matter reported in Indore, Madhya Pradesh. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-10-17,2024-10-14,L0198,High
C0041,CASE-2024-0041,Delhi Unauthorized Access Case,Unauthorized Access,Pending Review,"This case tracks a suspected unauthorized access matter reported in Delhi, Delhi. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-09-03,2024-08-30,L0084,High
C0042,CASE-2024-0042,Identity Fraud Ring Operating from Mumbai,Identity Fraud,Pending Review,"record of a identity fraud case based in Mumbai, Maharashtra, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-07-03,2024-06-30,L0538,Low
C0043,CASE-2024-0043,Unauthorized Access Case Linked to Surat Region,Unauthorized Access,Closed,"investigation into suspected unauthorized access activity centered around Surat, Gujarat, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-05-16,2024-05-14,L0500,High
C0044,CASE-2024-0044,Bengaluru-based Simple Robbery Inquiry,Simple Robbery,Closed,"investigation into suspected simple robbery activity centered around Bengaluru, Karnataka, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-03-04,2024-03-03,L0385,Medium
C0045,CASE-2024-0045,Organized Cybercrime Ring Operating from Surat,Organized Cybercrime,Closed,"A demonstration investigation record covering a organized cybercrime incident in Surat, Gujarat, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-09-26,2024-09-24,L0445,High
C0046,CASE-2024-0046,Bhopal-based Organized Fraud Inquiry,Organized Fraud,Under Investigation,"record of a organized fraud case based in Bhopal, Madhya Pradesh, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-05-07,2024-05-05,L0079,High
C0047,CASE-2024-0047,Investigation into Individual Cyber Fraud Activities in Jaipur,Individual Cyber Fraud,Pending Review,"investigation into suspected individual cyber fraud activity centered around Jaipur, Rajasthan, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-12-04,2024-11-29,L0357,High
C0048,CASE-2024-0048,Ahmedabad-based Payment Fraud Inquiry,Payment Fraud,Under Investigation,"A demonstration investigation record covering a payment fraud incident in Ahmedabad, Gujarat, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-04-25,2024-04-20,L0438,High
C0049,CASE-2024-0049,Data Theft Network Probe - Coimbatore,Data Theft,Open,"This case tracks a suspected data theft matter reported in Coimbatore, Tamil Nadu. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-08-12,2024-08-09,L0287,Low
C0050,CASE-2024-0050,Investigation into Money Laundering Investigation Activities in Ahmedabad,Money Laundering Investigation,Pending Review,"A demonstration investigation record covering a money laundering investigation incident in Ahmedabad, Gujarat, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-10-05,2024-10-01,L0594,High
C0051,CASE-2024-0051,Bhopal Minor Fraud Case,Minor Fraud,Open,"A demonstration investigation record covering a minor fraud incident in Bhopal, Madhya Pradesh, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-06-22,2024-06-21,L0556,Medium
C0052,CASE-2024-0052,Investigation into Murder Investigation Activities in Hyderabad,Murder Investigation,Open,"record of a murder investigation case based in Hyderabad, Telangana, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-06-23,2024-06-20,L0036,Low
C0053,CASE-2024-0053,Indore Theft Case,Theft,Open,"investigation into suspected theft activity centered around Indore, Madhya Pradesh, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-06-21,2024-06-21,L0498,Low
C0054,CASE-2024-0054,Ahmedabad Corporate Fraud Case,Corporate Fraud,Closed,"This case tracks a suspected corporate fraud matter reported in Ahmedabad, Gujarat. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-08-24,2024-08-23,L0594,Medium
C0055,CASE-2024-0055,Corporate Fraud Network Probe - Mumbai,Corporate Fraud,Closed,"Case file documenting a corporate fraud investigation originating in Mumbai, Maharashtra, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-02-10,2024-02-05,L0513,Critical
C0056,CASE-2024-0056,Delhi-based Kidnapping Inquiry,Kidnapping,Under Investigation,"record of a kidnapping case based in Delhi, Delhi, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-07-19,2024-07-16,L0124,Critical
C0057,CASE-2024-0057,Coimbatore-based Large Organized Crime Network Inquiry,Large Organized Crime Network,Pending Review,"record of a large organized crime network case based in Coimbatore, Tamil Nadu, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-04-18,2024-04-13,L0280,High
C0058,CASE-2024-0058,Money Laundering Investigation Network Probe - Lucknow,Money Laundering Investigation,Open,"Case file documenting a money laundering investigation investigation originating in Lucknow, Uttar Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-07-08,2024-07-07,L0401,High
C0059,CASE-2024-0059,Investigation into Murder Investigation Activities in Ahmedabad,Murder Investigation,Under Investigation,"record of a murder investigation case based in Ahmedabad, Gujarat, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-01-11,2024-01-11,L0027,High
C0060,CASE-2024-0060,Procurement Fraud Case Linked to Lucknow Region,Procurement Fraud,Pending Review,"This case tracks a suspected procurement fraud matter reported in Lucknow, Uttar Pradesh. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-11-03,2024-11-03,L0053,High
C0061,CASE-2024-0061,Jaipur Kidnapping Case,Kidnapping,Pending Review,"Case file documenting a kidnapping investigation originating in Jaipur, Rajasthan, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-07-16,2024-07-13,L0560,Medium
C0062,CASE-2024-0062,Money Laundering Investigation Case Linked to Chennai Region,Money Laundering Investigation,Pending Review,"record of a money laundering investigation case based in Chennai, Tamil Nadu, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-09-27,2024-09-27,L0206,Critical
C0063,CASE-2024-0063,Gurugram Banking Fraud Case,Banking Fraud,Under Investigation,"This case tracks a suspected banking fraud matter reported in Gurugram, Haryana. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-10-06,2024-10-03,L0264,Critical
C0064,CASE-2024-0064,Simple Robbery Investigation - Kolkata Sector,Simple Robbery,Pending Review,"This case tracks a suspected simple robbery matter reported in Kolkata, West Bengal. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-04-11,2024-04-09,L0037,Low
C0065,CASE-2024-0065,Mumbai-based Document Fraud Inquiry,Document Fraud,Closed,"Case file documenting a document fraud investigation originating in Mumbai, Maharashtra, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-07-10,2024-07-10,L0066,Low
C0066,CASE-2024-0066,Investigation into Financial Fraud Activities in Nashik,Financial Fraud,Pending Review,"A demonstration investigation record covering a financial fraud incident in Nashik, Maharashtra, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-06-04,2024-06-04,L0526,Medium
C0067,CASE-2024-0067,Kolkata Burglary Case,Burglary,Open,"investigation into suspected burglary activity centered around Kolkata, West Bengal, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-02-04,2024-02-02,L0120,High
C0068,CASE-2024-0068,Major Cybercrime Ring Operating from Indore,Major Cybercrime,Pending Review,"A demonstration investigation record covering a major cybercrime incident in Indore, Madhya Pradesh, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-03-19,2024-03-15,L0450,Medium
C0069,CASE-2024-0069,Theft Investigation - Nagpur Sector,Theft,Pending Review,"This case tracks a suspected theft matter reported in Nagpur, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-09-15,2024-09-12,L0278,Low
C0070,CASE-2024-0070,Nagpur-based Unauthorized Access Inquiry,Unauthorized Access,Under Investigation,"A demonstration investigation record covering a unauthorized access incident in Nagpur, Maharashtra, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-06-23,2024-06-18,L0230,High
C0071,CASE-2024-0071,Pune-based Minor Fraud Inquiry,Minor Fraud,Open,"A demonstration investigation record covering a minor fraud incident in Pune, Maharashtra, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-07-21,2024-07-17,L0157,Low
C0072,CASE-2024-0072,Property Fraud Network Probe - Pune,Property Fraud,Under Investigation,"investigation into suspected property fraud activity centered around Pune, Maharashtra, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-08-12,2024-08-12,L0134,High
C0073,CASE-2024-0073,Large Organized Crime Network Investigation - Kochi Sector,Large Organized Crime Network,Under Investigation,"record of a large organized crime network case based in Kochi, Kerala, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-05-06,2024-05-03,L0575,Low
C0074,CASE-2024-0074,Investigation into Data Theft Activities in Lucknow,Data Theft,Open,"investigation into suspected data theft activity centered around Lucknow, Uttar Pradesh, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-06-10,2024-06-08,L0496,Medium
C0075,CASE-2024-0075,Document Fraud Ring Operating from Pune,Document Fraud,Under Investigation,"investigation into suspected document fraud activity centered around Pune, Maharashtra, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-03-05,2024-03-03,L0089,High
C0076,CASE-2024-0076,Investigation into Vehicle Theft Activities in Chennai,Vehicle Theft,Closed,"This case tracks a suspected vehicle theft matter reported in Chennai, Tamil Nadu. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-11-25,2024-11-21,L0017,High
C0077,CASE-2024-0077,Major Cybercrime Investigation - Indore Sector,Major Cybercrime,Under Investigation,"Case file documenting a major cybercrime investigation originating in Indore, Madhya Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-01-07,2024-01-02,L0578,High
C0078,CASE-2024-0078,Gurugram Identity Fraud Case,Identity Fraud,Pending Review,"record of a identity fraud case based in Gurugram, Haryana, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-11-02,2024-10-29,L0405,Low
C0079,CASE-2024-0079,Kolkata Kidnapping Case,Kidnapping,Under Investigation,"Case file documenting a kidnapping investigation originating in Kolkata, West Bengal, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-10-13,2024-10-09,L0167,Low
C0080,CASE-2024-0080,Online Fraud Case Linked to Gurugram Region,Online Fraud,Open,"Case file documenting a online fraud investigation originating in Gurugram, Haryana, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-01-14,2024-01-11,L0165,High
C0081,CASE-2024-0081,Theft Investigation - Coimbatore Sector,Theft,Under Investigation,"record of a theft case based in Coimbatore, Tamil Nadu, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-01-12,2024-01-08,L0311,Low
C0082,CASE-2024-0082,Vehicle Theft Network Probe - Noida,Vehicle Theft,Under Investigation,"Case file documenting a vehicle theft investigation originating in Noida, Uttar Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-05-29,2024-05-25,L0376,Medium
C0083,CASE-2024-0083,Nagpur Simple Robbery Case,Simple Robbery,Open,"This case tracks a suspected simple robbery matter reported in Nagpur, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-06-25,2024-06-20,L0002,Low
C0084,CASE-2024-0084,Nagpur-based Large Financial Crime Network Inquiry,Large Financial Crime Network,Open,"Case file documenting a large financial crime network investigation originating in Nagpur, Maharashtra, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-05-14,2024-05-13,L0454,Low
C0085,CASE-2024-0085,Noida-based Vehicle Theft Inquiry,Vehicle Theft,Closed,"investigation into suspected vehicle theft activity centered around Noida, Uttar Pradesh, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-09-20,2024-09-20,L0025,Medium
C0086,CASE-2024-0086,Lucknow-based Organized Cybercrime Inquiry,Organized Cybercrime,Open,"Case file documenting a organized cybercrime investigation originating in Lucknow, Uttar Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-03-26,2024-03-23,L0505,Medium
C0087,CASE-2024-0087,Major Cybercrime Ring Operating from Coimbatore,Major Cybercrime,Open,"A demonstration investigation record covering a major cybercrime incident in Coimbatore, Tamil Nadu, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-10-04,2024-09-30,L0031,High
C0088,CASE-2024-0088,Noida Organized Cybercrime Case,Organized Cybercrime,Under Investigation,"This case tracks a suspected organized cybercrime matter reported in Noida, Uttar Pradesh. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-04-10,2024-04-10,L0541,High
C0089,CASE-2024-0089,Financial Fraud Ring Operating from Kochi,Financial Fraud,Pending Review,"record of a financial fraud case based in Kochi, Kerala, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-07-07,2024-07-03,L0268,High
C0090,CASE-2024-0090,Data Theft Case Linked to Kolkata Region,Data Theft,Under Investigation,"Case file documenting a data theft investigation originating in Kolkata, West Bengal, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-03-14,2024-03-14,L0320,High
C0091,CASE-2024-0091,Kidnapping Network Probe - Bengaluru,Kidnapping,Pending Review,"record of a kidnapping case based in Bengaluru, Karnataka, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-07-05,2024-07-01,L0282,Critical
C0092,CASE-2024-0092,Large Organized Crime Network Case Linked to Bhopal Region,Large Organized Crime Network,Closed,"record of a large organized crime network case based in Bhopal, Madhya Pradesh, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-03-22,2024-03-17,L0087,Critical
C0093,CASE-2024-0093,Investigation into Theft Activities in Gurugram,Theft,Pending Review,"investigation into suspected theft activity centered around Gurugram, Haryana, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-09-20,2024-09-18,L0049,Medium
C0094,CASE-2024-0094,Digital Fraud Network Probe - Coimbatore,Digital Fraud,Under Investigation,"investigation into suspected digital fraud activity centered around Coimbatore, Tamil Nadu, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-01-21,2024-01-17,L0280,Critical
C0095,CASE-2024-0095,Vehicle Theft Case Linked to Hyderabad Region,Vehicle Theft,Closed,"record of a vehicle theft case based in Hyderabad, Telangana, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-11-19,2024-11-19,L0420,High
C0096,CASE-2024-0096,Thane Assault Case,Assault,Pending Review,"A demonstration investigation record covering a assault incident in Thane, Maharashtra, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-04-07,2024-04-07,L0395,Medium
C0097,CASE-2024-0097,Investigation into Payment Fraud Activities in Chennai,Payment Fraud,Closed,"record of a payment fraud case based in Chennai, Tamil Nadu, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-08-29,2024-08-27,L0160,Low
C0098,CASE-2024-0098,Nashik-based Unauthorized Access Inquiry,Unauthorized Access,Under Investigation,"record of a unauthorized access case based in Nashik, Maharashtra, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-12-02,2024-11-29,L0098,Medium
C0099,CASE-2024-0099,Payment Fraud Investigation - Ahmedabad Sector,Payment Fraud,Pending Review,"A demonstration investigation record covering a payment fraud incident in Ahmedabad, Gujarat, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-02-13,2024-02-08,L0390,Low
C0100,CASE-2024-0100,Bhopal-based Assault Inquiry,Assault,Open,"Case file documenting a assault investigation originating in Bhopal, Madhya Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-05-05,2024-05-04,L0005,Medium
C0101,CASE-2024-0101,Noida-based Individual Cyber Fraud Inquiry,Individual Cyber Fraud,Under Investigation,"This case tracks a suspected individual cyber fraud matter reported in Noida, Uttar Pradesh. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-02-14,2024-02-12,L0152,Low
C0102,CASE-2024-0102,Major Cybercrime Network Probe - Indore,Major Cybercrime,Open,"Case file documenting a major cybercrime investigation originating in Indore, Madhya Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-04-06,2024-04-02,L0203,Medium
C0103,CASE-2024-0103,Property Fraud Network Probe - Surat,Property Fraud,Open,"investigation into suspected property fraud activity centered around Surat, Gujarat, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-03-29,2024-03-26,L0500,High
C0104,CASE-2024-0104,Investigation into Individual Cyber Fraud Activities in Bhopal,Individual Cyber Fraud,Pending Review,"Case file documenting a individual cyber fraud investigation originating in Bhopal, Madhya Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-05-15,2024-05-14,L0414,High
C0105,CASE-2024-0105,Payment Fraud Network Probe - Hyderabad,Payment Fraud,Under Investigation,"Case file documenting a payment fraud investigation originating in Hyderabad, Telangana, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-08-02,2024-07-29,L0245,Low
C0106,CASE-2024-0106,Assault Network Probe - Nashik,Assault,Pending Review,"This case tracks a suspected assault matter reported in Nashik, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-05-01,2024-04-26,L0313,Medium
