organization_id,name,organization_type,address,city,state,registration_id,status,case_id
O0074,Pioneer Consultants LLP,Manufacturing,"114, Park Street, Gurugram",Gurugram,Haryana,REG5852627544,Active,C0127
O0075,Vertex Trading Co,Real Estate,"587, Nehru Nagar, Surat",Surat,Gujarat,REG7260128719,Active,C0128
O0076,Northstar Consultants LLP,Transport,"595, Station Road, Bengaluru",Bengaluru,Karnataka,REG9178481641,Active,C0129
O0077,Sunrise Consultants LLP,Real Estate,"363, Lake View Road, Delhi",Delhi,Delhi,REG5955511272,Active,C0130
O0078,Blue Horizon Trading Co,Transport,"412, Ring Road, Bengaluru",Bengaluru,Karnataka,REG8042355107,Active,C0131
O0079,Maple Trading Co,Trading,"269, Ring Road, Gurugram",Gurugram,Haryana,REG4404628536,Active,C0135
O0080,Riverstone Trading Co,Construction,"573, College Road, Gurugram",Gurugram,Haryana,REG1385919110,Active,C0138
O0081,Sunrise Consultants LLP,Logistics,"749, Shivaji Nagar, Delhi",Delhi,Delhi,REG0057968357,Active,C0140
O0082,Sunrise Trading Co,Consulting,"300, Ring Road, Coimbatore",Coimbatore,Tamil Nadu,REG9808994867,Active,C0142
O0083,Northstar Services LLP,Logistics,"407, Market Road, Jaipur",Jaipur,Rajasthan,REG5733013483,Active,C0143
O0084,Maple Industries Pvt Ltd,Trading,"879, Lake View Road, Bengaluru",Bengaluru,Karnataka,REG6416648240,Active,C0146
O0085,Maple Services LLP,Construction,"902, Station Road, Surat",Surat,Gujarat,REG0646515522,Active,C0147
O0086,Vertex Solutions Pvt Ltd,Transport,"678, Market Road, Pune",Pune,Maharashtra,REG0608729549,Active,C0148
O0087,Crescent Consultants LLP,Import/Export,"895, College Road, Thane",Thane,Maharashtra,REG4815755948,Active,C0149
O0088,Silverline Services LLP,Construction,"482, Nehru Nagar, Bhopal",Bhopal,Madhya Pradesh,REG3132041612,Inactive,C0151
O0089,Cobalt Logistics Pvt Ltd,Finance,"940, Station Road, Delhi",Delhi,Delhi,REG6943871503,Active,C0152
O0090,Oakridge Solutions Pvt Ltd,Finance,"56, Ring Road, Nashik",Nashik,Maharashtra,REG5353745947,Active,C0154
O0091,Oakridge Consultants LLP,Technology,"149, MG Road, Delhi",Delhi,Delhi,REG8087042091,Active,C0155
O0092,Crescent Consultants LLP,Services,"926, Station Road, Nashik",Nashik,Maharashtra,REG5996285972,Inactive,C0157
O0093,Oakridge Solutions Pvt Ltd,Trading,"794, Ring Road, Jaipur",Jaipur,Rajasthan,REG0021378187,Active,C0160
O0094,Riverstone Consultants LLP,Real Estate,"953, Lake View Road, Ahmedabad",Ahmedabad,Gujarat,REG5808332358,Active,C0161
O0095,Riverstone Logistics Pvt Ltd,Real Estate,"302, MG Road, Hyderabad",Hyderabad,Telangana,REG5900778001,Active,C0162
O0096,Pioneer Solutions Pvt Ltd,Trading,"615, Station Road, Kolkata",Kolkata,West Bengal,REG3529859827,Active,C0163
O0097,Greenfield Industries Pvt Ltd,Consulting,"223, Ring Road, Ahmedabad",Ahmedabad,Gujarat,REG1044412615,Active,C0164
O0098,Northstar Industries Pvt Ltd,Technology,"402, Lake View Road, Nagpur",Nagpur,Maharashtra,REG6492511865,Active,C0167
O0099,Sunrise Consultants LLP,Transport,"94, Station Road, Gurugram",Gurugram,Haryana,REG7309627265,Active,C0171
O0100,Riverstone Solutions Pvt Ltd,Construction,"109, Station Road, Nashik",Nashik,Maharashtra,REG9076067197,Active,C0172
O0101,Cobalt Solutions Pvt Ltd,Real Estate,"630, Lake View Road, Pune",Pune,Maharashtra,REG5153752651,Active,C0174
O0102,Oakridge Infrastructure Pvt Ltd,Logistics,"476, Park Street, Gurugram",Gurugram,Haryana,REG9589540382,Active,C0175
O0103,Vertex Solutions Pvt Ltd,Trading,"902, Ring Road, Nashik",Nashik,Maharashtra,REG3380363141,Active,C0177
O0104,Maple Infrastructure Pvt Ltd,Services,"404, Ring Road, Kochi",Kochi,Kerala,REG5119104639,Inactive,C0178
O0105,Vertex Services LLP,Technology,"404, College Road, Thane",Thane,Maharashtra,REG1746459970,Active,C0180
O0106,Maple Consultants LLP,Consulting,"380, Airport Road, Pune",Pune,Maharashtra,REG1349642871,Active,C0182
O0107,Crescent Consultants LLP,Technology,"734, Lake View Road, Indore",Indore,Madhya Pradesh,REG8147611144,Active,C0183
O0108,Greenfield Services LLP,Finance,"57, Shivaji Nagar, Kochi",Kochi,Kerala,REG2981679848,Inactive,C0185
O0109,Silverline Industries Pvt Ltd,Transport,"977, Station Road, Pune",Pune,Maharashtra,REG2583885688,Active,C0188
O0110,Vertex Logistics Pvt Ltd,Transport,"353, College Road, Nagpur",Nagpur,Maharashtra,REG8011182134,Active,C0189
O0111,Pioneer Services LLP,Real Estate,"805, MG Road, Jaipur",Jaipur,Rajasthan,REG5711414048,Active,C0191
O0112,Greenfield Industries Pvt Ltd,Transport,"619, Shivaji Nagar, Surat",Surat,Gujarat,REG2188508891,Inactive,C0192
O0113,Greenfield Logistics Pvt Ltd,Finance,"458, Lake View Road, Gurugram",Gurugram,Haryana,REG7900224510,Active,C0195
O0114,Northstar Consultants LLP,Trading,"232, College Road, Kochi",Kochi,Kerala,REG5999343435,Active,C0196
O0115,Sunrise Trading Co,Transport,"765, Station Road, Lucknow",Lucknow,Uttar Pradesh,REG5372768782,Active,C0197
O0116,Riverstone Industries Pvt Ltd,Trading,"135, Park Street, Mumbai",Mumbai,Maharashtra,REG7526214632,Active,C0198
O0117,Crescent Logistics Pvt Ltd,Finance,"516, MG Road, Kochi",Kochi,Kerala,REG9466228597,Active,C0200
O0118,Crescent Services LLP,Consulting,"831, Ring Road, Coimbatore",Coimbatore,Tamil Nadu,REG5275861439,Active,C0202
O0119,Cobalt Trading Co,Real Estate,"552, Station Road, Kolkata",Kolkata,West Bengal,REG8766854975,Active,C0204
O0120,Crescent Consultants LLP,Logistics,"657, Station Road, Thane",Thane,Maharashtra,REG2135028606,Inactive,C0205
O0121,Pioneer Solutions Pvt Ltd,Manufacturing,"296, MG Road, Nagpur",Nagpur,Maharashtra,REG7441581307,Active,C0206
O0122,Maple Solutions Pvt Ltd,Logistics,"642, Ring Road, Indore",Indore,Madhya Pradesh,REG1844376213,Active,C0207
O0123,Oakridge Industries Pvt Ltd,Construction,"513, MG Road, Kochi",Kochi,Kerala,REG4238658174,Active,C0208
O0124,Northstar Logistics Pvt Ltd,Finance,"572, MG Road, Ahmedabad",Ahmedabad,Gujarat,REG5777256999,Inactive,C0209
O0125,Oakridge Services LLP,Consulting,"644, Station Road, Kochi",Kochi,Kerala,REG8252579490,Active,C0212
O0126,Vertex Services LLP,Services,"405, Market Road, Lucknow",Lucknow,Uttar Pradesh,REG6648400867,Active,C0214
O0127,Crescent Solutions Pvt Ltd,Trading,"209, Ring Road, Thane",Thane,Maharashtra,REG1857785385,Active,C0216
O0128,Crescent Services LLP,Transport,"896, Park Street, Delhi",Delhi,Delhi,REG9012943820,Active,C0218
O0129,Vertex Trading Co,Real Estate,"902, MG Road, Ahmedabad",Ahmedabad,Gujarat,REG6113451471,Active,C0219
O0130,Riverstone Trading Co,Real Estate,"957, Airport Road, Chennai",Chennai,Tamil Nadu,REG2813225052,Active,C0220
O0131,Vertex Services LLP,Import/Export,"380, Shivaji Nagar, Nashik",Nashik,Maharashtra,REG1750956519,Active,C0221
O0132,Maple Infrastructure Pvt Ltd,Manufacturing,"190, Lake View Road, Surat",Surat,Gujarat,REG3570488755,Active,C0222
O0133,Maple Services LLP,Logistics,"727, Ring Road, Mumbai",Mumbai,Maharashtra,REG0897298110,Active,C0225
O0134,Cobalt Services LLP,Import/Export,"125, Station Road, Coimbatore",Coimbatore,Tamil Nadu,REG8970065861,Active,C0227
O0135,Pioneer Industries Pvt Ltd,Technology,"93, MG Road, Gurugram",Gurugram,Haryana,REG9749414327,Active,C0228
O0136,Sunrise Logistics Pvt Ltd,Transport,"501, Nehru Nagar, Ahmedabad",Ahmedabad,Gujarat,REG3708025564,Active,C0229
O0137,Vertex Industries Pvt Ltd,Construction,"873, Lake View Road, Mumbai",Mumbai,Maharashtra,REG1638977625,Inactive,C0232
O0138,Silverline Infrastructure Pvt Ltd,Consulting,"316, Park Street, Bengaluru",Bengaluru,Karnataka,REG7963382483,Active,C0235
O0139,Crescent Solutions Pvt Ltd,Trading,"55, Station Road, Bhopal",Bhopal,Madhya Pradesh,REG7437784119,Active,C0236
O0140,Riverstone Consultants LLP,Retail,"277, Airport Road, Noida",Noida,Uttar Pradesh,REG0499807375,Inactive,C0238
O0141,Blue Horizon Industries Pvt Ltd,Logistics,"736, Park Street, Noida",Noida,Uttar Pradesh,REG2101363202,Active,C0239
O0142,Pioneer Industries Pvt Ltd,Consulting,"772, Lake View Road, Jaipur",Jaipur,Rajasthan,REG1138061970,Inactive,C0240
O0143,Maple Infrastructure Pvt Ltd,Manufacturing,"786, Lake View Road, Surat",Surat,Gujarat,REG4520051993,Active,C0242
O0144,Vertex Industries Pvt Ltd,Construction,"646, Airport Road, Bhopal",Bhopal,Madhya Pradesh,REG1778575298,Inactive,C0243
O0145,Crescent Logistics Pvt Ltd,Real Estate,"769, Lake View Road, Nagpur",Nagpur,Maharashtra,REG6602711447,Active,C0244
O0146,Cobalt Trading Co,Technology,"582, MG Road, Kochi",Kochi,Kerala,REG1823102916,Active,C0245
O0147,Cobalt Industries Pvt Ltd,Finance,"680, Nehru Nagar, Coimbatore",Coimbatore,Tamil Nadu,REG4191391916,Active,C0248
O0148,Northstar Infrastructure Pvt Ltd,Logistics,"690, Nehru Nagar, Ahmedabad",Ahmedabad,Gujarat,REG4713700512,Active,C0249
O0149,Vertex Trading Co,Import/Export,"343, Airport Road, Bhopal",Bhopal,Madhya Pradesh,REG2517018498,Active,C0250
O0150,Vertex Consultants LLP,Real Estate,"796, MG Road, Lucknow",Lucknow,Uttar Pradesh,REG2968793941,Active,C0252
O0151,Greenfield Consultants LLP,Real Estate,"289, Market Road, Bengaluru",Bengaluru,Karnataka,REG8651522929,Active,C0255
O0152,Maple Logistics Pvt Ltd,Real Estate,"582, Lake View Road, Surat",Surat,Gujarat,REG4861617155,Inactive,C0256
O0153,Riverstone Services LLP,Transport,"352, Market Road, Bengaluru",Bengaluru,Karnataka,REG5397285116,Active,C0258
O0154,Blue Horizon Infrastructure Pvt Ltd,Finance,"416, Park Street, Hyderabad",Hyderabad,Telangana,REG0856719320,Active,C0260
O0155,Silverline Services LLP,Logistics,"15, Station Road, Thane",Thane,Maharashtra,REG3894879456,Active,C0262
O0156,Oakridge Consultants LLP,Retail,"473, Market Road, Mumbai",Mumbai,Maharashtra,REG0195254963,Active,C0263
O0157,Oakridge Services LLP,Manufacturing,"501, Airport Road, Surat",Surat,Gujarat,REG0931755864,Active,C0265
O0158,Maple Trading Co,Logistics,"758, Shivaji Nagar, Indore",Indore,Madhya Pradesh,REG0263762463,Active,C0266
O0159,Northstar Trading Co,Manufacturing,"222, Lake View Road, Hyderabad",Hyderabad,Telangana,REG9017085585,Active,C0270
O0160,Sunrise Trading Co,Consulting,"364, College Road, Surat",Surat,Gujarat,REG4718397421,Active,C0272
O0161,Cobalt Logistics Pvt Ltd,Logistics,"555, Nehru Nagar, Chennai",Chennai,Tamil Nadu,REG0270913419,Active,C0274
O0162,Silverline Infrastructure Pvt Ltd,Construction,"679, Lake View Road, Delhi",Delhi,Delhi,REG2217638823,Inactive,C0275
O0163,Riverstone Infrastructure Pvt Ltd,Services,"893, Ring Road, Nagpur",Nagpur,Maharashtra,REG5890917856,Active,C0276
O0164,Greenfield Trading Co,Retail,"540, Shivaji Nagar, Gurugram",Gurugram,Haryana,REG6568547827,Active,C0277
O0165,Cobalt Logistics Pvt Ltd,Manufacturing,"705, Park Street, Mumbai",Mumbai,Maharashtra,REG4151843629,Active,C0280
O0166,Oakridge Industries Pvt Ltd,Transport,"564, College Road, Nashik",Nashik,Maharashtra,REG2049997192,Inactive,C0283
O0167,Greenfield Services LLP,Retail,"800, Market Road, Gurugram",Gurugram,Haryana,REG0638043629,Active,C0284
O0168,Vertex Solutions Pvt Ltd,Import/Export,"429, Market Road, Mumbai",Mumbai,Maharashtra,REG3380497192,Active,C0285
O0169,Northstar Consultants LLP,Technology,"472, Airport Road, Thane",Thane,Maharashtra,REG2226900020,Active,C0288
O0170,Riverstone Infrastructure Pvt Ltd,Consulting,"634, Station Road, Surat",Surat,Gujarat,REG9481336906,Active,C0290
O0171,Blue Horizon Industries Pvt Ltd,Import/Export,"656, College Road, Thane",Thane,Maharashtra,REG5323215465,Inactive,C0293
O0172,Pioneer Solutions Pvt Ltd,Consulting,"898, College Road, Pune",Pune,Maharashtra,REG3919083425,Active,C0302
O0173,Oakridge Trading Co,Import/Export,"93, MG Road, Lucknow",Lucknow,Uttar Pradesh,REG5798682536,Active,C0305
O0174,Crescent Services LLP,Services,"727, Station Road, Gurugram",Gurugram,Haryana,REG1396273876,Inactive,C0306
O0175,Greenfield Consultants LLP,Logistics,"823, Market Road, Lucknow",Lucknow,Uttar Pradesh,REG9344075020,Active,C0307
O0176,Oakridge Industries Pvt Ltd,Finance,"958, Nehru Nagar, Hyderabad",Hyderabad,Telangana,REG2084200671,Active,C0308
O0177,Sunrise Logistics Pvt Ltd,Finance,"652, College Road, Bengaluru",Bengaluru,Karnataka,REG7162734319,Active,C0309
O0178,Greenfield Trading Co,Import/Export,"636, Airport Road, Bengaluru",Bengaluru,Karnataka,REG4791091736,Active,C0313
O0179,Blue Horizon Trading Co,Transport,"907, Park Street, Coimbatore",Coimbatore,Tamil Nadu,REG7942282555,Active,C0316
O0180,Vertex Industries Pvt Ltd,Logistics,"525, Ring Road, Indore",Indore,Madhya Pradesh,REG5436581694,Inactive,C0317
O0181,Sunrise Infrastructure Pvt Ltd,Import/Export,"901, Market Road, Nashik",Nashik,Maharashtra,REG4133184887,Active,C0319
O0182,Maple Industries Pvt Ltd,Real Estate,"45, College Road, Noida",Noida,Uttar Pradesh,REG5461630549,Active,C0322
O0183,Crescent Trading Co,Services,"275, Airport Road, Mumbai",Mumbai,Maharashtra,REG3859449268,Active,C0324
O0184,Riverstone Trading Co,Transport,"816, Market Road, Indore",Indore,Madhya Pradesh,REG8706068277,Active,C0325
O0185,Silverline Services LLP,Services,"527, Lake View Road, Surat",Surat,Gujarat,REG3529349731,Active,C0327
O0186,Cobalt Infrastructure Pvt Ltd,Finance,"783, Lake View Road, Nagpur",Nagpur,Maharashtra,REG0286103158,Active,C0329
O0187,Cobalt Trading Co,Logistics,"412, Airport Road, Indore",Indore,Madhya Pradesh,REG2924207161,Active,C0330
O0188,Blue Horizon Logistics Pvt Ltd,Logistics,"597, Airport Road, Jaipur",Jaipur,Rajasthan,REG6394357199,Active,C0332
O0189,Vertex Solutions Pvt Ltd,Trading,"464, Lake View Road, Surat",Surat,Gujarat,REG1400584021,Active,C0333
O0190,Maple Infrastructure Pvt Ltd,Import/Export,"512, Nehru Nagar, Nagpur",Nagpur,Maharashtra,REG6168821893,Active,C0335
O0191,Maple Consultants LLP,Import/Export,"435, Ring Road, Nashik",Nashik,Maharashtra,REG7751693450,Active,C0339
O0192,Vertex Solutions Pvt Ltd,Technology,"44, Park Street, Coimbatore",Coimbatore,Tamil Nadu,REG2181809826,Active,C0341
O0193,Silverline Consultants LLP,Services,"140, Park Street, Indore",Indore,Madhya Pradesh,REG3121648104,Inactive,C0342
O0194,Blue Horizon Services LLP,Logistics,"296, College Road, Chennai",Chennai,Tamil Nadu,REG1050359269,Active,C0343
O0195,Crescent Logistics Pvt Ltd,Technology,"196, Nehru Nagar, Bhopal",Bhopal,Madhya Pradesh,REG4499744507,Active,C0344
O0196,Greenfield Services LLP,Transport,"256, Park Street, Delhi",Delhi,Delhi,REG8375581693,Active,C0345
O0197,Vertex Industries Pvt Ltd,Transport,"731, Airport Road, Ahmedabad",Ahmedabad,Gujarat,REG5005989078,Active,C0346
O0198,Silverline Solutions Pvt Ltd,Transport,"56, Market Road, Jaipur",Jaipur,Rajasthan,REG4761526202,Active,C0348
O0199,Vertex Infrastructure Pvt Ltd,Logistics,"382, Airport Road, Nashik",Nashik,Maharashtra,REG6803324206,Active,C0349
O0200,Silverline Services LLP,Finance,"702, Market Road, Bengaluru",Bengaluru,Karnataka,REG4854364171,Active,C0351
O0201,Cobalt Services LLP,Import/Export,"703, College Road, Pune",Pune,Maharashtra,REG4723214734,Active,C0352
O0202,Maple Industries Pvt Ltd,Transport,"151, Shivaji Nagar, Thane",Thane,Maharashtra,REG3264722959,Inactive,C0357
O0203,Northstar Services LLP,Transport,"720, Airport Road, Indore",Indore,Madhya Pradesh,REG9249849729,Active,C0358
O0204,Sunrise Industries Pvt Ltd,Manufacturing,"649, Airport Road, Bhopal",Bhopal,Madhya Pradesh,REG6913793343,Active,C0360
O0205,Vertex Logistics Pvt Ltd,Real Estate,"319, Park Street, Bengaluru",Bengaluru,Karnataka,REG4767719738,Active,C0361
O0206,Blue Horizon Logistics Pvt Ltd,Manufacturing,"946, Ring Road, Surat",Surat,Gujarat,REG0606614545,Active,C0363
O0207,Greenfield Consultants LLP,Technology,"199, Market Road, Surat",Surat,Gujarat,REG0501666272,Active,C0364
O0208,Maple Consultants LLP,Logistics,"585, Shivaji Nagar, Ahmedabad",Ahmedabad,Gujarat,REG0720083175,Active,C0366
O0209,Silverline Solutions Pvt Ltd,Transport,"252, Airport Road, Delhi",Delhi,Delhi,REG4204297737,Inactive,C0369
O0210,Vertex Infrastructure Pvt Ltd,Finance,"517, MG Road, Ahmedabad",Ahmedabad,Gujarat,REG3079159949,Inactive,C0373
O0211,Oakridge Solutions Pvt Ltd,Finance,"279, Airport Road, Ahmedabad",Ahmedabad,Gujarat,REG9165190509,Active,C0374
O0212,Greenfield Services LLP,Construction,"324, Shivaji Nagar, Mumbai",Mumbai,Maharashtra,REG9215405937,Active,C0375
O0213,Greenfield Trading Co,Logistics,"205, College Road, Kochi",Kochi,Kerala,REG5530400342,Active,C0376
O0214,Cobalt Consultants LLP,Retail,"530, Lake View Road, Kochi",Kochi,Kerala,REG0221807187,Active,C0377
