truth_id,source_entity,relationship,target_entity,is_true,synthetic_flag
TRUTH-000086,PERSON-001206,SUSPECT_IN,CASE-000012,true,true
TRUTH-000087,PERSON-000072,SUSPECT_IN,CASE-000012,true,true
TRUTH-000088,PERSON-000175,SUSPECT_IN,CASE-000012,true,true
TRUTH-000089,PERSON-001782,SUSPECT_IN,CASE-000012,true,true
TRUTH-000090,PERSON-002256,OBSERVED_IN,CASE-000012,true,true
TRUTH-000091,PERSON-002788,OBSERVED_IN,CASE-000012,true,true
TRUTH-000092,PERSON-000710,OBSERVED_IN,CASE-000012,true,true
TRUTH-000093,PERSON-002197,SUSPECT_IN,CASE-000013,true,true
TRUTH-000094,PERSON-002965,SUSPECT_IN,CASE-000013,true,true
TRUTH-000095,PERSON-001492,SUSPECT_IN,CASE-000013,true,true
TRUTH-000096,PERSON-002106,SUSPECT_IN,CASE-000013,true,true
TRUTH-000097,PERSON-001769,SUSPECT_IN,CASE-000013,true,true
TRUTH-000098,PERSON-001803,OBSERVED_IN,CASE-000013,true,true
TRUTH-000099,PERSON-000703,OBSERVED_IN,CASE-000013,true,true
TRUTH-000100,PERSON-001205,SUSPECT_IN,CASE-000014,true,true
TRUTH-000101,PERSON-001544,SUSPECT_IN,CASE-000014,true,true
TRUTH-000102,PERSON-001898,SUSPECT_IN,CASE-000014,true,true
TRUTH-000103,PERSON-000083,SUSPECT_IN,CASE-000014,true,true
TRUTH-000104,PERSON-000621,SUSPECT_IN,CASE-000014,true,true
TRUTH-000105,PERSON-001873,SUSPECT_IN,CASE-000014,true,true
TRUTH-000106,PERSON-002745,OBSERVED_IN,CASE-000014,true,true
TRUTH-000107,PERSON-001543,OBSERVED_IN,CASE-000014,true,true
TRUTH-000108,PERSON-001780,SUSPECT_IN,CASE-000015,true,true
TRUTH-000109,PERSON-001691,SUSPECT_IN,CASE-000015,true,true
TRUTH-000110,PERSON-002397,SUSPECT_IN,CASE-000015,true,true
TRUTH-000111,PERSON-002646,SUSPECT_IN,CASE-000015,true,true
TRUTH-000112,PERSON-000260,OBSERVED_IN,CASE-000015,true,true
TRUTH-000113,PERSON-000499,OBSERVED_IN,CASE-000015,true,true
TRUTH-000114,PERSON-001747,OBSERVED_IN,CASE-000015,true,true
TRUTH-000115,PERSON-002846,OBSERVED_IN,CASE-000015,true,true
TRUTH-000116,PERSON-000374,OBSERVED_IN,CASE-000015,true,true
TRUTH-000117,PERSON-002304,OBSERVED_IN,CASE-000015,true,true
TRUTH-000118,PERSON-001847,OBSERVED_IN,CASE-000015,true,true
TRUTH-000119,PERSON-002846,SUSPECT_IN,CASE-000016,true,true
TRUTH-000120,PERSON-000943,SUSPECT_IN,CASE-000016,true,true
TRUTH-000121,PERSON-001479,SUSPECT_IN,CASE-000016,true,true
TRUTH-000122,PERSON-000260,OBSERVED_IN,CASE-000016,true,true
TRUTH-000123,PERSON-000499,OBSERVED_IN,CASE-000016,true,true
TRUTH-000124,PERSON-001747,OBSERVED_IN,CASE-000016,true,true
TRUTH-000125,PERSON-000374,OBSERVED_IN,CASE-000016,true,true
TRUTH-000126,PERSON-001578,OBSERVED_IN,CASE-000016,true,true
TRUTH-000127,PERSON-002393,OBSERVED_IN,CASE-000016,true,true
TRUTH-000128,PERSON-001769,SUSPECT_IN,CASE-000017,true,true
TRUTH-000129,PERSON-002954,SUSPECT_IN,CASE-000017,true,true
TRUTH-000130,PERSON-000842,OBSERVED_IN,CASE-000017,true,true
TRUTH-000131,PERSON-000710,OBSERVED_IN,CASE-000017,true,true
TRUTH-000132,PERSON-002343,SUSPECT_IN,CASE-000018,true,true
TRUTH-000133,PERSON-001547,SUSPECT_IN,CASE-000018,true,true
TRUTH-000134,PERSON-000524,SUSPECT_IN,CASE-000018,true,true
TRUTH-000135,PERSON-001642,OBSERVED_IN,CASE-000018,true,true
TRUTH-000136,PERSON-000238,OBSERVED_IN,CASE-000018,true,true
TRUTH-000137,PERSON-001007,OBSERVED_IN,CASE-000018,true,true
TRUTH-000138,PERSON-001331,OBSERVED_IN,CASE-000018,true,true
TRUTH-000139,PERSON-000850,SUSPECT_IN,CASE-000019,true,true
TRUTH-000140,PERSON-000081,SUSPECT_IN,CASE-000019,true,true
TRUTH-000141,PERSON-000063,SUSPECT_IN,CASE-000019,true,true
TRUTH-000142,PERSON-001589,SUSPECT_IN,CASE-000019,true,true
TRUTH-000143,PERSON-000927,SUSPECT_IN,CASE-000019,true,true
TRUTH-000144,PERSON-000863,OBSERVED_IN,CASE-000019,true,true
TRUTH-000145,PERSON-001861,OBSERVED_IN,CASE-000019,true,true
TRUTH-000146,PERSON-002574,OBSERVED_IN,CASE-000019,true,true
TRUTH-000147,PERSON-001259,OBSERVED_IN,CASE-000019,true,true
TRUTH-000148,PERSON-000081,SUSPECT_IN,CASE-000020,true,true
TRUTH-000149,PERSON-000845,SUSPECT_IN,CASE-000020,true,true
TRUTH-000150,PERSON-000863,OBSERVED_IN,CASE-000020,true,true
TRUTH-000151,PERSON-000357,SUSPECT_IN,CASE-000021,true,true
TRUTH-000152,PERSON-002517,SUSPECT_IN,CASE-000021,true,true
TRUTH-000153,PERSON-000062,SUSPECT_IN,CASE-000021,true,true
TRUTH-000154,PERSON-002020,OBSERVED_IN,CASE-000021,true,true
TRUTH-000155,PERSON-000921,OBSERVED_IN,CASE-000021,true,true
TRUTH-000156,PERSON-000165,SUSPECT_IN,CASE-000022,true,true
TRUTH-000157,PERSON-002737,SUSPECT_IN,CASE-000022,true,true
TRUTH-000158,PERSON-002068,SUSPECT_IN,CASE-000022,true,true
TRUTH-000159,PERSON-000042,SUSPECT_IN,CASE-000022,true,true
TRUTH-000160,PERSON-000703,SUSPECT_IN,CASE-000022,true,true
TRUTH-000161,PERSON-000682,OBSERVED_IN,CASE-000022,true,true
TRUTH-000162,PERSON-000473,OBSERVED_IN,CASE-000022,true,true
TRUTH-000163,PERSON-001481,OBSERVED_IN,CASE-000022,true,true
TRUTH-000164,PERSON-000275,OBSERVED_IN,CASE-000022,true,true
TRUTH-000165,PERSON-000032,OBSERVED_IN,CASE-000022,true,true
TRUTH-000166,PERSON-001558,SUSPECT_IN,CASE-000023,true,true
TRUTH-000167,PERSON-001610,SUSPECT_IN,CASE-000023,true,true
TRUTH-000168,PERSON-001474,SUSPECT_IN,CASE-000023,true,true
TRUTH-000169,PERSON-001115,SUSPECT_IN,CASE-000023,true,true
TRUTH-000170,PERSON-002060,OBSERVED_IN,CASE-000023,true,true
TRUTH-000171,PERSON-000792,OBSERVED_IN,CASE-000023,true,true
TRUTH-000172,PERSON-002900,OBSERVED_IN,CASE-000023,true,true
TRUTH-000173,PERSON-002618,OBSERVED_IN,CASE-000023,true,true
TRUTH-000174,PERSON-001757,OBSERVED_IN,CASE-000023,true,true
TRUTH-000175,PERSON-001194,SUSPECT_IN,CASE-000024,true,true
TRUTH-000176,PERSON-002277,SUSPECT_IN,CASE-000024,true,true
TRUTH-000177,PERSON-001899,SUSPECT_IN,CASE-000024,true,true
TRUTH-000178,PERSON-002930,SUSPECT_IN,CASE-000024,true,true
TRUTH-000179,PERSON-000106,SUSPECT_IN,CASE-000024,true,true
TRUTH-000180,PERSON-000449,OBSERVED_IN,CASE-000024,true,true
TRUTH-000181,PERSON-001617,OBSERVED_IN,CASE-000024,true,true
TRUTH-000182,PERSON-000341,OBSERVED_IN,CASE-000024,true,true
TRUTH-000183,PERSON-000009,OBSERVED_IN,CASE-000024,true,true
TRUTH-000184,PERSON-002633,OBSERVED_IN,CASE-000024,true,true
TRUTH-000185,PERSON-002246,OBSERVED_IN,CASE-000024,true,true
TRUTH-000186,PERSON-000120,SUSPECT_IN,CASE-000025,true,true
TRUTH-000187,PERSON-000538,SUSPECT_IN,CASE-000025,true,true
TRUTH-000188,PERSON-002999,SUSPECT_IN,CASE-000025,true,true
TRUTH-000189,PERSON-000895,SUSPECT_IN,CASE-000025,true,true
TRUTH-000190,PERSON-000863,OBSERVED_IN,CASE-000025,true,true
TRUTH-000191,PERSON-000921,OBSERVED_IN,CASE-000025,true,true
TRUTH-000192,PERSON-001041,SUSPECT_IN,CASE-000026,true,true
TRUTH-000193,PERSON-001670,SUSPECT_IN,CASE-000026,true,true
TRUTH-000194,PERSON-001210,OBSERVED_IN,CASE-000026,true,true
TRUTH-000195,PERSON-001558,OBSERVED_IN,CASE-000026,true,true
TRUTH-000196,PERSON-000351,OBSERVED_IN,CASE-000026,true,true
TRUTH-000197,PERSON-002750,OBSERVED_IN,CASE-000026,true,true
TRUTH-000198,PERSON-001589,OBSERVED_IN,CASE-000026,true,true
TRUTH-000199,PERSON-002517,SUSPECT_IN,CASE-000027,true,true
TRUTH-000200,PERSON-001205,SUSPECT_IN,CASE-000027,true,true
TRUTH-000201,PERSON-002745,SUSPECT_IN,CASE-000027,true,true
TRUTH-000202,PERSON-002132,SUSPECT_IN,CASE-000027,true,true
TRUTH-000203,PERSON-000621,OBSERVED_IN,CASE-000027,true,true
TRUTH-000204,PERSON-002999,OBSERVED_IN,CASE-000027,true,true
TRUTH-000205,PERSON-001115,SUSPECT_IN,CASE-000028,true,true
TRUTH-000206,PERSON-001262,SUSPECT_IN,CASE-000028,true,true
TRUTH-000207,PERSON-002060,SUSPECT_IN,CASE-000028,true,true
TRUTH-000208,PERSON-001558,SUSPECT_IN,CASE-000028,true,true
TRUTH-000209,PERSON-000180,SUSPECT_IN,CASE-000028,true,true
TRUTH-000210,PERSON-002821,OBSERVED_IN,CASE-000028,true,true
TRUTH-000211,PERSON-001474,OBSERVED_IN,CASE-000028,true,true
TRUTH-000212,PERSON-001610,OBSERVED_IN,CASE-000028,true,true
TRUTH-000213,PERSON-000792,OBSERVED_IN,CASE-000028,true,true
TRUTH-000214,PERSON-002900,OBSERVED_IN,CASE-000028,true,true
TRUTH-000215,PERSON-002618,OBSERVED_IN,CASE-000028,true,true
TRUTH-000216,PERSON-001705,SUSPECT_IN,CASE-000029,true,true
TRUTH-000217,PERSON-002453,SUSPECT_IN,CASE-000029,true,true
TRUTH-000218,PERSON-002197,SUSPECT_IN,CASE-000029,true,true
TRUTH-000219,PERSON-000232,OBSERVED_IN,CASE-000029,true,true
TRUTH-000220,PERSON-000789,OBSERVED_IN,CASE-000029,true,true
TRUTH-000221,PERSON-001589,SUSPECT_IN,CASE-000030,true,true
TRUTH-000222,PERSON-000146,SUSPECT_IN,CASE-000030,true,true
TRUTH-000223,PERSON-000717,SUSPECT_IN,CASE-000030,true,true
TRUTH-000224,PERSON-001210,OBSERVED_IN,CASE-000030,true,true
TRUTH-000225,PERSON-001667,OBSERVED_IN,CASE-000030,true,true
TRUTH-000226,PERSON-000351,OBSERVED_IN,CASE-000030,true,true
TRUTH-000227,PERSON-002750,OBSERVED_IN,CASE-000030,true,true
TRUTH-000228,PERSON-001041,OBSERVED_IN,CASE-000030,true,true
TRUTH-000229,PERSON-001670,OBSERVED_IN,CASE-000030,true,true
TRUTH-000230,PERSON-000584,SUSPECT_IN,CASE-000031,true,true
TRUTH-000231,PERSON-000697,SUSPECT_IN,CASE-000031,true,true
TRUTH-000232,PERSON-000230,SUSPECT_IN,CASE-000031,true,true
TRUTH-000233,PERSON-000948,SUSPECT_IN,CASE-000031,true,true
TRUTH-000234,PERSON-002757,SUSPECT_IN,CASE-000031,true,true
TRUTH-000235,PERSON-002715,SUSPECT_IN,CASE-000031,true,true
TRUTH-000236,PERSON-002998,OBSERVED_IN,CASE-000031,true,true
TRUTH-000237,PERSON-001670,SUSPECT_IN,CASE-000032,true,true
TRUTH-000238,PERSON-001210,SUSPECT_IN,CASE-000032,true,true
TRUTH-000239,PERSON-001589,SUSPECT_IN,CASE-000032,true,true
TRUTH-000240,PERSON-001558,SUSPECT_IN,CASE-000032,true,true
TRUTH-000241,PERSON-001041,SUSPECT_IN,CASE-000032,true,true
TRUTH-000242,PERSON-001880,SUSPECT_IN,CASE-000032,true,true
TRUTH-000243,PERSON-001667,OBSERVED_IN,CASE-000032,true,true
TRUTH-000244,PERSON-000146,OBSERVED_IN,CASE-000032,true,true
TRUTH-000245,PERSON-001041,SUSPECT_IN,CASE-000033,true,true
TRUTH-000246,PERSON-000146,SUSPECT_IN,CASE-000033,true,true
TRUTH-000247,PERSON-000351,SUSPECT_IN,CASE-000033,true,true
TRUTH-000248,PERSON-001573,SUSPECT_IN,CASE-000033,true,true
TRUTH-000249,PERSON-001210,OBSERVED_IN,CASE-000033,true,true
TRUTH-000250,PERSON-002750,OBSERVED_IN,CASE-000033,true,true
TRUTH-000251,PERSON-001558,OBSERVED_IN,CASE-000033,true,true
TRUTH-000252,PERSON-000351,SUSPECT_IN,CASE-000034,true,true
TRUTH-000253,PERSON-001041,SUSPECT_IN,CASE-000034,true,true
TRUTH-000254,PERSON-001667,SUSPECT_IN,CASE-000034,true,true
TRUTH-000255,PERSON-002930,SUSPECT_IN,CASE-000034,true,true
TRUTH-000256,PERSON-001210,OBSERVED_IN,CASE-000034,true,true
TRUTH-000257,PERSON-002750,OBSERVED_IN,CASE-000034,true,true
TRUTH-000258,PERSON-001589,OBSERVED_IN,CASE-000034,true,true
TRUTH-000259,PERSON-002576,SUSPECT_IN,CASE-000035,true,true
TRUTH-000260,PERSON-000506,SUSPECT_IN,CASE-000035,true,true
TRUTH-000261,PERSON-000390,SUSPECT_IN,CASE-000035,true,true
TRUTH-000262,PERSON-000096,SUSPECT_IN,CASE-000035,true,true
TRUTH-000263,PERSON-000597,OBSERVED_IN,CASE-000035,true,true
TRUTH-000264,PERSON-000062,OBSERVED_IN,CASE-000035,true,true
TRUTH-000265,PERSON-000046,OBSERVED_IN,CASE-000035,true,true
TRUTH-000266,PERSON-000647,OBSERVED_IN,CASE-000035,true,true
TRUTH-000267,PERSON-000927,OBSERVED_IN,CASE-000035,true,true
TRUTH-000268,PERSON-001326,OBSERVED_IN,CASE-000035,true,true
TRUTH-000269,PERSON-001873,OBSERVED_IN,CASE-000035,true,true
TRUTH-000270,PERSON-002517,SUSPECT_IN,CASE-000036,true,true
TRUTH-000271,PERSON-000083,SUSPECT_IN,CASE-000036,true,true
TRUTH-000272,PERSON-001544,SUSPECT_IN,CASE-000036,true,true
TRUTH-000273,PERSON-000538,SUSPECT_IN,CASE-000036,true,true
TRUTH-000274,PERSON-002964,SUSPECT_IN,CASE-000036,true,true
TRUTH-000275,PERSON-002745,OBSERVED_IN,CASE-000036,true,true
TRUTH-000276,PERSON-002279,OBSERVED_IN,CASE-000036,true,true
TRUTH-000277,PERSON-001898,OBSERVED_IN,CASE-000036,true,true
TRUTH-000278,PERSON-002873,OBSERVED_IN,CASE-000036,true,true
TRUTH-000279,PERSON-000611,SUSPECT_IN,CASE-000037,true,true
TRUTH-000280,PERSON-000060,SUSPECT_IN,CASE-000037,true,true
TRUTH-000281,PERSON-000635,SUSPECT_IN,CASE-000037,true,true
TRUTH-000282,PERSON-002438,SUSPECT_IN,CASE-000037,true,true
TRUTH-000283,PERSON-001768,SUSPECT_IN,CASE-000037,true,true
TRUTH-000284,PERSON-002847,OBSERVED_IN,CASE-000037,true,true
TRUTH-000285,PERSON-001847,OBSERVED_IN,CASE-000037,true,true
TRUTH-000286,PERSON-001480,OBSERVED_IN,CASE-000037,true,true
TRUTH-000287,PERSON-002998,SUSPECT_IN,CASE-000038,true,true
TRUTH-000288,PERSON-000697,SUSPECT_IN,CASE-000038,true,true
TRUTH-000289,PERSON-001664,SUSPECT_IN,CASE-000038,true,true
TRUTH-000290,PERSON-001343,SUSPECT_IN,CASE-000038,true,true
TRUTH-000291,PERSON-000948,SUSPECT_IN,CASE-000038,true,true
TRUTH-000292,PERSON-002715,SUSPECT_IN,CASE-000038,true,true
TRUTH-000293,PERSON-001315,OBSERVED_IN,CASE-000038,true,true
TRUTH-000294,PERSON-000106,OBSERVED_IN,CASE-000038,true,true
TRUTH-000295,PERSON-000904,OBSERVED_IN,CASE-000038,true,true
TRUTH-000296,PERSON-000919,SUSPECT_IN,CASE-000039,true,true
TRUTH-000297,PERSON-000393,SUSPECT_IN,CASE-000039,true,true
TRUTH-000298,PERSON-002160,SUSPECT_IN,CASE-000039,true,true
TRUTH-000299,PERSON-000132,SUSPECT_IN,CASE-000039,true,true
TRUTH-000300,PERSON-002764,SUSPECT_IN,CASE-000039,true,true
TRUTH-000301,PERSON-001367,SUSPECT_IN,CASE-000039,true,true
TRUTH-000302,PERSON-002653,OBSERVED_IN,CASE-000039,true,true
TRUTH-000303,PERSON-001478,OBSERVED_IN,CASE-000039,true,true
TRUTH-000304,PERSON-002507,OBSERVED_IN,CASE-000039,true,true
TRUTH-000305,PERSON-000676,OBSERVED_IN,CASE-000039,true,true
TRUTH-000306,PERSON-002124,OBSERVED_IN,CASE-000039,true,true
TRUTH-000307,PERSON-000507,OBSERVED_IN,CASE-000039,true,true
TRUTH-000308,PERSON-001664,SUSPECT_IN,CASE-000040,true,true
TRUTH-000309,PERSON-000904,SUSPECT_IN,CASE-000040,true,true
TRUTH-000310,PERSON-000181,SUSPECT_IN,CASE-000040,true,true
TRUTH-000311,PERSON-002998,OBSERVED_IN,CASE-000040,true,true
TRUTH-000312,PERSON-000948,OBSERVED_IN,CASE-000040,true,true
TRUTH-000313,PERSON-001315,OBSERVED_IN,CASE-000040,true,true
TRUTH-000314,PERSON-002757,OBSERVED_IN,CASE-000040,true,true
TRUTH-000315,PERSON-000697,OBSERVED_IN,CASE-000040,true,true
TRUTH-000316,PERSON-002715,OBSERVED_IN,CASE-000040,true,true
TRUTH-000317,PERSON-002998,SUSPECT_IN,CASE-000041,true,true
TRUTH-000318,PERSON-001343,SUSPECT_IN,CASE-000041,true,true
TRUTH-000319,PERSON-002675,OBSERVED_IN,CASE-000041,true,true
TRUTH-000320,PERSON-002835,OBSERVED_IN,CASE-000041,true,true
TRUTH-000321,PERSON-002757,OBSERVED_IN,CASE-000041,true,true
TRUTH-000322,PERSON-000584,OBSERVED_IN,CASE-000041,true,true
TRUTH-000323,PERSON-000697,OBSERVED_IN,CASE-000041,true,true
TRUTH-000324,PERSON-002715,OBSERVED_IN,CASE-000041,true,true
TRUTH-000325,PERSON-002750,SUSPECT_IN,CASE-000042,true,true
TRUTH-000326,PERSON-001041,SUSPECT_IN,CASE-000042,true,true
TRUTH-000327,PERSON-001558,SUSPECT_IN,CASE-000042,true,true
TRUTH-000328,PERSON-000351,SUSPECT_IN,CASE-000042,true,true
TRUTH-000329,PERSON-002279,SUSPECT_IN,CASE-000042,true,true
TRUTH-000330,PERSON-000146,OBSERVED_IN,CASE-000042,true,true
TRUTH-000331,PERSON-001670,OBSERVED_IN,CASE-000042,true,true
TRUTH-000332,PERSON-001667,OBSERVED_IN,CASE-000042,true,true
TRUTH-000333,PERSON-000950,SUSPECT_IN,CASE-000043,true,true
TRUTH-000334,PERSON-002114,SUSPECT_IN,CASE-000043,true,true
TRUTH-000335,PERSON-000195,SUSPECT_IN,CASE-000043,true,true
TRUTH-000336,PERSON-000916,OBSERVED_IN,CASE-000043,true,true
TRUTH-000337,PERSON-000238,OBSERVED_IN,CASE-000043,true,true
TRUTH-000338,PERSON-001112,OBSERVED_IN,CASE-000043,true,true
TRUTH-000339,PERSON-002017,OBSERVED_IN,CASE-000043,true,true
TRUTH-000340,PERSON-001547,OBSERVED_IN,CASE-000043,true,true
TRUTH-000341,PERSON-001212,SUSPECT_IN,CASE-000044,true,true
TRUTH-000342,PERSON-000092,SUSPECT_IN,CASE-000044,true,true
TRUTH-000343,PERSON-001124,SUSPECT_IN,CASE-000044,true,true
TRUTH-000344,PERSON-000470,SUSPECT_IN,CASE-000044,true,true
TRUTH-000345,PERSON-001807,OBSERVED_IN,CASE-000044,true,true
TRUTH-000346,PERSON-002920,OBSERVED_IN,CASE-000044,true,true
TRUTH-000347,PERSON-000139,OBSERVED_IN,CASE-000044,true,true
TRUTH-000348,PERSON-001455,OBSERVED_IN,CASE-000044,true,true
TRUTH-000349,PERSON-000195,OBSERVED_IN,CASE-000044,true,true
TRUTH-000350,PERSON-001262,SUSPECT_IN,CASE-000045,true,true
TRUTH-000351,PERSON-002900,SUSPECT_IN,CASE-000045,true,true
TRUTH-000352,PERSON-002618,SUSPECT_IN,CASE-000045,true,true
TRUTH-000353,PERSON-001757,SUSPECT_IN,CASE-000045,true,true
TRUTH-000354,PERSON-001115,SUSPECT_IN,CASE-000045,true,true
TRUTH-000355,PERSON-000540,OBSERVED_IN,CASE-000045,true,true
TRUTH-000356,PERSON-001474,OBSERVED_IN,CASE-000045,true,true
TRUTH-000357,PERSON-001610,OBSERVED_IN,CASE-000045,true,true
TRUTH-000358,PERSON-000267,OBSERVED_IN,CASE-000045,true,true
TRUTH-000359,PERSON-000792,OBSERVED_IN,CASE-000045,true,true
TRUTH-000360,PERSON-002499,SUSPECT_IN,CASE-000046,true,true
TRUTH-000361,PERSON-001668,SUSPECT_IN,CASE-000046,true,true
TRUTH-000362,PERSON-001043,SUSPECT_IN,CASE-000046,true,true
TRUTH-000363,PERSON-002275,OBSERVED_IN,CASE-000046,true,true
TRUTH-000364,PERSON-002331,OBSERVED_IN,CASE-000046,true,true
TRUTH-000365,PERSON-000979,OBSERVED_IN,CASE-000046,true,true
TRUTH-000366,PERSON-001397,OBSERVED_IN,CASE-000046,true,true
